stage,eye,glial,mesenchyme,neural,notochord,presomitic_mesoderm,somites
 14-21,0,0,0,5.74,0,2.17,2.22
 24-34,0,0,0,2.09,0,0,0
 36-46,1.08,0,0,0,0,0,0
 48-58,0,0,0.37,0,0,0,0
 60-70,0,0,1.9,0,0,0,0
 84-94,0,0,0,0,0.99,0,0
108-118,0,0,0,1.23,0,0,0
120,0,12.15,0,3.2,0,0,0
