stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,92.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.83,373.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.33,0,0,0,11.56,0,0,0,0,0,0,0
  7-9,9.48,6.63,0,4.89,0,0,0,18.24,0,0,0,0,8.99,0,0,0,0,0,0,182.14,4.24,0,0,25.85,0,0,0,0,0,0,0
 10-12,0,0,0,13.56,0,0,0,14.09,0,0,0,0,6.35,0,0,0,0,0,0,85.8,5.37,0,0,18.38,0,4.94,0,23.27,0,0,0
 14-21,0,0,0,1.89,18.3,0.95,0,1.02,0,0,0,2.98,0,1.34,0,0,0,0,0.95,11.79,0,0,0,0.82,0,0,6.77,1.06,8.72,1.84,0
 24-34,0,0,0,0,0.74,0,0,1.08,0,0,0.91,0,0,0,0,0.65,1.54,0,0.77,8.49,0,0,0,0,0,0,0,0,0.63,2.26,0
 36-46,0,0,0,0,0,0,0,0.93,0,0,0,0,2.78,0.65,0,0,0,0,1.4,5.98,0,0.6,0,0,1.57,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.38,0,0,0.99,0,0,0,0,0,0,0,2.19,2.11,0,0,0,0,0,0,0,0,0,0.88,3.64
 60-70,0,0,0,0,0,0,0,4.68,0,0,0,0,1.21,3.33,0,0,0,0,0.9,14.55,0,1.09,0,0,4.42,0,0,0,0,2.49,0
 72-82,0,0,0,0,1.66,0,1.16,7.67,0,0,0.78,2.07,0,0,0,0,0,0,2.01,15.34,0,0,0,0,2.62,0,0,0,0,0,2.38
 84-94,0,0,0,0,0.96,0,0.59,1.34,0,0,1.35,2.34,0,0,0,0,0.68,0,0,7.36,0,0,0,0,3.26,0,0,0,0,0,0
 96-106,0,0,0.94,0,1.64,0,1.09,4.38,0,2.8,0,0.79,0,0,0,0,0.77,3.42,1.1,4.37,0,0,0,0,1.65,0,0,0,0,0,0
108-118,0,0,0,0,0.68,0,0,6.28,0.5,0.47,0,0,0,0,0.61,0,0,0,0,9.51,0,0,3.17,0,1.34,0,0,0,0,0,0
120,0,0,0,1.66,6.02,0,0,0,0,0,0,0,0,2.63,0,0,1.02,0,5.37,0,0,0,0,0,1.37,0,0,1.73,0,0,0
