stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.48,0,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.89,0,7.85,3.43,0,0,0,0,0,0,0,0,0,0,0,0,24.49,4.75,0,0,26.38,0,0,0,0,0,0,7.48,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,6.35,88.5,3.44,0,0,0,0,0,0,16.06,0.98,2.76,30.06,13.75,0,0,0,0,0
 24-34,0,0,0,5.94,0.89,4.39,0,0,1.55,0,0,0,0,0,0,10.56,0,0.73,321.92,0,22.15,23.98,0,0,0,0,0,0,0,2.81,136.31,0,0,0,0,0
 36-46,0,0,0,0,0,6.9,0,0,7.24,0,0,0,0,1.61,0,30.68,0,0.7,485.93,0.82,32.51,11.71,0,0,0.66,0,0,0,0,0,235.7,0,0,6.37,0,9.76
 48-58,0,1.14,0,0,0,11.89,1.79,0,19.2,4.17,0,0,0,0,0,23.47,0,0.79,582.27,7.74,13.15,11.39,0,0,0.46,0,0,0,0.53,0,178.37,0,0,0,0,0
 60-70,0,0,0,9.03,0,171.73,0,0,29.75,0.62,0,0,0,0,0,76.32,0,0,480.72,0,9.57,13.01,0,0,0,0,0,0,0,0,126.04,0,0,0,0,3
 72-82,0,0.71,0,9.29,0,330.32,0,0,34.07,1.54,0,0.68,0,0,0,101.16,2.93,1.3,552.08,0,33.94,8.74,0,2.75,0,0,0,0,0,0,59.41,0,0.56,0.56,1.87,0
 84-94,0,0,0,24.36,0,279.99,0.57,0,21.8,0.62,0.75,0,0.95,2.34,0,92.1,9.23,1.6,389.27,0,12.4,16.34,0,0,0.82,0,0,0,0.72,0,46.1,0,0,2.49,0,0
 96-106,0,1.19,0,8.8,0,222.26,0.71,2.33,19.6,1.64,2.07,0,0,3.78,0,105.93,4.1,10.67,467.1,0,38.27,16.85,0,0,2.82,14.87,0,0,0,0,53.63,2.69,1.93,11.08,0,9.55
108-118,0,0,0,3.7,0,264.46,3.3,0.95,27.16,0,3.9,2.71,0,1.96,3.69,132.33,1.34,1.47,520.28,0.69,21.91,48,0,0,1.51,0,0,0,0,0,20.39,5.04,0,13.07,0,6.66
120,0,0,0,12.94,4.98,141.76,0,0,64.67,0,7.45,3.6,0,0,0,86.63,13.78,0,1080.03,0,14.62,49.08,0,0,0,0,0,1.83,0,0,38.55,1.99,0,13.91,0,0
