stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.5,0,0,0,0,14.09,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.11,0,12.43,7.37,0.9,0,28.22,0,0,0,0,2.93,0.99,52.3,3.36,6.23,5.98,0.83,2.32,1.53,2.44,46.4,0.87,102.94,0
 24-34,0.96,0,1.39,0,1.68,0,23.71,0,0,2.54,0,0,0.61,25.33,1.38,7.06,5.41,0,0,0,0,3.5,1.37,50.94,5.08
 36-46,0,0,0.57,0,2.57,0,13.07,0.56,0,1.17,0.89,2.11,0,36.22,0,2.19,2.78,0,0,0,0,3.7,0,38.92,0
 48-58,0,0,0.38,0,3.62,0,32.86,0,0,0,0,1.3,0,22.47,0,2.53,0,0,0,0,0,1.52,0,28.8,0
 60-70,0,0,0,0,3.79,0,24.41,0,0,0.66,1.06,4.05,0,2.99,0,1.08,0,0,0,0,0,1.88,0,17.62,0
 72-82,0,0,0,0,2.84,0,25.75,0.65,0,0.49,0,3.86,0,23.38,0,0.49,3.75,0,0,0,0,0.66,0,9.33,0
 84-94,0.84,1.01,0,0,5.54,0,33.47,1.43,0,0,0,2.48,0,15.73,0,2.36,4.87,0,0,0,0,1.69,0,11.88,0
 96-106,0.94,0,0,0,2.32,0.75,27.78,0,0,0,0,4.06,1.42,8.9,0,1.19,3.68,0,0,0,0,1.42,0,30.9,0
108-118,1.75,0,0,0,2.77,0,19.29,1.1,0,0,0,0,0,10.27,0,9.12,1.87,0,0.45,0,0,0.45,0,15.4,0
120,3.73,0,0,0,2,0,6.49,0,0,2.85,0,0,0,21.46,0,4.59,0,0,0,0,0,0,0,8.97,0
