stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32.01,0,1.06,0,0,0,0
 24-34,0,0.84,0,0,0,0,0,0,2.2,0,0,0.67,6.33,0,0,0,0,203.79,0,0,1.04,0,0,0
 36-46,0,0,0,1.27,0,0,0,0,8.46,0,0,0,18.45,0,0,0,0,124.94,0,0,1.4,0,0,0
 48-58,0,0,0,7.25,0,0,2.39,0,0,1.04,0.55,0,19.49,0,0,0.73,0,73.33,0,0,0.47,0,0,4.48
 60-70,0,0,0,0,1.99,0,5.47,0,0,0.68,0,0,41.51,0,0,0,0,71.28,0,0,6.5,0,0,0
 72-82,0,0,0,14.63,0.56,1.98,16.27,0,3.49,0,0,0,83.74,0,0.52,0,0,103.2,0,0,14.02,0,0,1.6
 84-94,2.02,0,0,12.93,0,5.68,24.57,0,12.4,4.09,0,0,69.06,0,0,0,9.27,175.87,0.73,0,0,0,0.92,0
 96-106,0,6.9,0,9.44,0,0,58.8,0,0,3.04,0.58,0,51.7,0,0,0,0,126.17,0,0,0,0,1.91,1.4
108-118,1.57,3.45,0,3.49,0,7.38,84.86,1.04,0,7.03,0,1.58,74.36,0,0.92,0,0,163.81,0.42,0,4.88,0.63,0,0
120,0,5.28,0,18.76,0,0,73.36,0,0,1.56,0,0,90.89,2.28,0,0,0,103.26,1.32,0,5.96,1.44,0,0
