stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,124.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0
  5-6,88.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.24,0,0,4.63,0,0,0,0,0,0,0,0
 14-21,0,0,0.93,0,2.66,0,0,0,0,0,0,0,0,1.11,0,0.9,15.47,0,0,0,0,0,3.73,0,7.24,0,0,0
 24-34,0,0,0,0,6.16,0,0,0,3.1,0,0,0,0,3.29,0,1.01,55.21,0,0,0,0,0,0,0,25.19,0,0,0
 36-46,0,0,0.71,0,11.07,0,0,0,0,0,0,0,0,0.99,0,0.61,157.25,0,0,0,0,5.51,0,0,27.39,0,0,0
 48-58,0,0,0.53,0,18.96,0,0,0,16.01,0,0,0,4.49,1.25,0,0,387.08,0,0.61,0,0,0,0,0,75.12,0,0,0
 60-70,0,0,9.23,2.83,49.29,0,0,0,43.56,0,0,0,0,20.98,0,0.74,806.63,0,1.24,0,0,0,0,0,78.46,0,0.7,0
 72-82,0,0,11.07,0,64.17,0,0,0,58.86,0,0,0,0,22.33,0,0,1110.87,0.83,0,0,0,0,0,0,53.16,3.83,0,3.35
 84-94,0,0,3.46,0,63.46,0,4.74,0,28.96,0,2.11,0,0,26.47,0,0,634.7,0,1.91,0,0,0,0,0,54.61,0,0,0
 96-106,0,0,5.17,0,46.29,0,0,0.84,33.05,0.56,0,0,0,43.76,0,7.41,614.42,0,0,0,0.81,0.8,0,0,22.43,0,1.95,1.17
108-118,0,0,1.78,0,59.93,0.45,0,0,43.04,0,0,0.59,0,62.62,0.63,0.5,592.77,0,0,0,0,1.54,0,0.44,30.15,0,1.56,0.99
120,0,0,0,0,70.93,0,0,0,33.05,0,0,5.93,0,33.71,0,0,1176.31,0,0,0,0,1.19,0,0,34.56,0,0,8.36
