stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,63.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,62.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.77,3.34,0,0,6.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.34,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,52.15,0,0,0,11.22,0,0,0,0,0,0,0,0
 14-21,0,1.32,6.84,0,1.8,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,96.79,2.34,0,0,0,0,0,4.94,0,3.98,16.82,90.43,0,0,0,0,0
 24-34,0,2.55,1.3,0,9.06,0,0,0,0.85,0,0,0,0,0,11.3,0,0,0,0,0.6,698.47,0,7.34,1.45,0,0,1.22,0,0,1.87,0,289.8,0,0,0,0,0
 36-46,0,0,1.9,0,52.53,0,0,0,16.14,0,0,0,0,0,0,0,5.24,0,0,2.41,1817.56,2.15,6.75,2.32,0,0,0,0,0,0,0,433.39,0,0,0,0,0
 48-58,0,0,6.51,1.15,221.15,0,0,3.01,62.95,0,0.66,0,0,0,0,1.6,26.12,0,0.63,7.66,2341.5,0.46,6.6,5.01,0,0,0,0,0,1.53,0,492.87,0,0.74,4.75,0,8.61
 60-70,0,0.57,0.58,0,602.15,1.41,0.94,0,48.46,0,0.7,4.6,0,1.16,0,8.1,46.88,0,0.96,8.78,2517.55,0.66,5.52,1.64,0,3.4,0,0,0,0,0,473.4,0,0.71,0,0.83,0
 72-82,0,0.79,10.93,0,765.82,0,0,7.56,26.43,0.62,0,0,8.35,0,3.06,0.49,99.57,0,1.69,4.91,1856.91,0,9.28,2.14,0,2.41,0,0,0,0,0,365.25,0,0.76,0.58,2,0
 84-94,0,1.42,7.03,0,454.82,1.83,0.66,0,33.64,3.16,0,1.19,4.62,0,0,0,64.8,0,5.05,4.77,1278.05,0,1.72,0,0,0,2.65,0,0.73,0.79,0,198.29,0,2.34,0.97,6.55,13.41
 96-106,0,0,7.13,10.74,476.95,7.61,0,1.65,25.65,2.33,0,1.87,0,0,0,0,45.11,1.17,4.82,6.81,952.71,0,10.73,1.31,0,0,4.68,0,0,0.68,0,82.41,1.59,0,3.43,8.61,0
108-118,0,0,10.76,0.89,312.32,1.84,0,4.21,55.05,0.81,0,0,2.14,0,1.41,0,70.41,0,5.98,5.24,1394.21,0,15.73,0,0,1.23,0,0,0,0.46,0,69.75,0,0,0,0.97,0
120,0,0,6.09,0,365.31,6.51,3.14,0,34.82,0,0,0,0,0,0,0,55.45,0,4.59,3.93,1591,0,10.48,0,0,17.1,1.33,0,0,0,0,52.3,0,0,0,11.82,0
