stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,xanthophores
  3-4,24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.57,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94,0,0,0,12.97,0,0,0,0,0
 14-21,0,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0,0,17.98,0,2.14,0,0,0,0,0.66,0,0
 36-46,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,18.24,0,4.54,0,0,0,0,0,1.81,0
 48-58,0,0,0,0,0,41.99,0,0,0.73,0,0,0,0,0.45,0,0.46,29.77,0,1.03,1.14,0,0,0,0,5.43,0
 60-70,0,0,0,0,0,159.86,4.1,4.08,0,0,0,0,0,0,0,0,101.57,1.42,0,0,0,0,0,0,4.04,0
 72-82,0,0,0,0,0,192.42,0,0,0,0,0,1.35,0,0.66,0,0,192.97,0,1.02,0,0,0,0.5,0,9.65,0
 84-94,0,0,0,2.34,0,191.48,0.75,0,0,0.55,0,0,0,0.71,0,0,109.4,0.65,1.54,1.56,0,0,0.67,0,6.05,8.11
 96-106,0,0.61,0,1.44,0,76.48,6.85,0,0,0,1.36,5.15,0,6.21,0,0,113.66,0,1.8,3.06,0,3.74,0,0.68,2.36,0
108-118,0,0,0,3.36,0,110.97,4.48,0,0,0.59,0,5.42,0,5.15,0,0,180.94,0.52,1.43,0,0,0,0.75,0,4.21,0
120,0,0,0,0,0,94.59,0,0,0,0,0,0,5,20.78,2.35,1.64,227.8,0,0,2.08,0,0,0,0,0,0
