stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0
 14-21,2.46,2.69,0.89,0,2.97,0,0,0,0.97,6.52,0,0.99,12.62,0,4.58,0.85,0,2.85,5.89,0
 24-34,0.69,0,0.7,0,1,0,0.92,0,0,0,0,0.67,5.57,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.77,0,0,0,0,0.97,0,0,1.37,0,0,0,0.56,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,2.27,0,0,8.43,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.59,0,1.55,0,0.81,0,0.71,0,0,0,0,0,0
 84-94,0,0,4.33,1.1,0,1.44,0,1.59,0,0.68,0.55,0,0,2.19,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,4.18,0.62,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0.68
120,0,0,1.83,0,0,0,0,0,0,6.12,0,0,0,0,0,0,0,0,0,0
