stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,380.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.97,591.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.66,7.94,0,0,25.49,0,30.8,0,0,0,0,0,0,0,0,0,0,0
  7-9,33.43,4.5,0,34.01,0,0,51.52,0,0,0,0,0,34.82,0,0,0,0,0,0,0,0,0,0,484.69,29.23,0,0,138.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.42,0,29.15,0,5.14,30.23,0,0,0,0,0,6.89,0,0,0,0,0,0,0,0,0,0,540.99,20.33,0,0,254.09,0,0,0,3.96,48.44,0,5.41,4.33,0,0,0,0,0
 14-21,0,0,0,4.99,36.66,7.78,10.31,0,0,0,3.95,3.74,4.04,5.58,0,0,0,0,0,1.75,25.26,0,13.84,180.65,2.97,0,1.24,3.59,0,1.01,1.31,36.97,1.73,0,20.53,57.23,0,0,3.42,0,0
 24-34,0,0,1.22,3.34,18.43,1.39,61,0,1.3,0.76,24.63,0.85,0,4.12,0,3.47,0,1.87,5.46,0,59.81,0,31.91,547.07,4.37,12.32,8.23,0,0,7.85,0,0,2.89,10.41,18.33,144.15,0,0,28.34,0,3.54
 36-46,0,0,0,0,10.85,0,67.76,1.6,0,9.64,22.3,2.21,0,0.95,0,0,0,1.69,1.51,8.29,43.79,0,15.51,253.49,1.73,3.52,3.17,0,0,26.98,0,0,0,0,0,58.44,0,0,4.12,0,0
 48-58,0,0,0,0,1.98,2.92,99.5,0,0.39,1.88,30.75,1.05,0,1.04,0,0,0.43,1.16,0,0.45,52.17,1.42,7.31,174.52,1.48,3.58,1.6,0,0,12.58,0,0,0.43,0,0,36.2,0,0.89,3.36,0,4.61
 60-70,0,0,0.86,0,4.56,0.65,124.16,0,0.69,3.33,25.86,2.29,1.21,0,0,3.74,1.98,1.42,0,1.22,85.13,0.81,10.66,170.4,0,3.37,7.35,0,0,11.26,0,0,2.74,0,0,20.34,0,0,7.65,0,0.79
 72-82,0,0,0,0,1.42,3.65,46.46,0.76,0.5,0.75,24.21,2.18,0,0.81,0,1.09,0.54,3.27,0,0,69.4,2.85,2.81,86,0,0,2.63,0,1.53,0.94,0,0,1.18,0,0,4.09,0,1.41,10.76,0.51,1.3
 84-94,0,0,0,0,12.22,0,53.53,0,0,0.99,17.93,2.17,0,1.45,1.48,0,0,1.84,0,0,51.9,0.94,6.75,50.2,0,1.04,3.54,0,0,12.29,0,0,0,0,0,8.78,0.62,3.01,4.21,3.14,5.82
 96-106,0,0,0.61,0,8.45,18.48,28.83,0.71,0.57,1.25,22.72,3.62,0,4.58,0.66,0.8,2.85,0,0,0.98,62.85,5.65,4.87,98.32,0,5.27,3.69,0,1.3,6.32,0,0,1.05,0,0,2.06,3.17,0,15.78,5.59,0
108-118,0,0,0,0,3.39,0,25.53,0,0,0,14.5,2.33,0,0,1.38,0,1.79,0,0.43,1.18,37.01,0.46,7.92,72.15,0,6.17,3.73,0,0,8.2,0,0,0.45,0,0,2.4,0.81,0,8.41,1.27,0.49
120,0,0,0,0,3.22,1.38,30.94,0,0,5.23,11.24,1.42,0,1.85,4.42,0,0,8.93,0,0,20.77,0,3.79,101.61,4.72,12.76,0,0,0,1.17,0,0,0,0,0,0,0,0,18.92,0,3.64
