stage,eye,mesenchyme,neural,spinal.cord
 24-34,0,0,1.87,0
 48-58,0,0,0.53,0
 72-82,0,0.85,1.32,0.81
 84-94,0,0.86,0,0
 96-106,2.8,0,0,0
