stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,50.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,0,11.99,0,0,0,0,0,0
 10-12,0,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.81,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87,0,0,0,2.95,0,0,0,0
 24-34,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,124.32,1.68,0,10.85,26.4,0,0,0,0
 36-46,0,0,0,0,4.99,0,0,0,1.98,0,0,0,0,0,0,0,269.5,1.72,0,3.25,51.57,0,0,0,0
 48-58,0,0,0.88,0,65.07,1.6,0.89,0.54,6.55,0,0,4.27,0,0.67,0,0.41,513.24,2.35,0,0,62.51,0,0,0,0
 60-70,0,0,0,0,133.55,0,0,0,11.63,0,0,0,0,3.29,0,0,658.68,1.02,0,3.09,65.91,0,0,0,3.04
 72-82,0,0,1.59,8.78,209.18,0,0,0,6.67,0,0,0,1.54,3.59,0,0,629.29,1.22,0,1.67,45.58,0,1.1,0,0
 84-94,0,0,2.9,0,148.57,0,0,1.85,3.54,0,0,0,0,4.96,2.39,0,342.77,0,0,0,30.6,0,0,0,2.36
 96-106,0,0,2.38,3.59,112.94,0.78,0,0,4.22,0,2.41,1.27,0,9.49,2.13,0.72,414.25,0,0,1.18,10.26,0,0,0,0
108-118,0,0.74,0.93,0,165.63,0,0,1.27,2.61,0,0,0.65,0.7,6.43,0,0.56,375.97,0,0,0,7.06,1.7,0,0.54,0
120,0,0,2.96,0,126.01,0,0,0,15.27,3.22,0,4.75,0,0,0,0,653.1,0,0,0,12.74,0,0,0,0
