stage,epidermis,eye,glial,gut,immune,ionocyte,lateral_line,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,18.51,0,3.81,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.98,0,3.32
 36-46,0,0,0,0,0,0,0,0,4.67,0,0,0,0,2.53,0,0
 48-58,0,1.32,0.52,0,0,0,0,0,0,0,0,0,0,3.05,0,0
 60-70,0,1.41,0,0,0,9.25,0,0,1.2,0,0,0,0.77,0,0.84,0
 72-82,0,0,0,0,0,1.39,0.63,0.78,0,0,0,0,0.57,0,8.53,0
 84-94,1.23,0,0,0.96,0.69,0,0,0,3.93,0,0,0,0,0,7.76,0
 96-106,2.16,7.42,0,0.76,0,1.45,0,0,0,0,0,0,0,0,22.46,0
108-118,6.71,0,0,0,2.73,1.05,0,0.54,1.98,0,0,0,0,0,18.45,0
120,3.27,0,0,0,0,3.56,1.11,0,3.29,0,3,0,1.33,0,22.1,0
