stage,eye,glial,immune,mesenchyme,neural,olfactory,spinal.cord
 36-46,0,0,0,0,17.61,0,1.03
 48-58,0.91,0,8.87,0,26.78,0,5.65
 60-70,4.23,0,0,0,19.49,0,7.31
 72-82,3.42,1.59,0.67,0,22.36,0,3.2
 84-94,4.23,0,0.81,0.95,26.72,0,3.95
 96-106,2.36,0,1.31,0,21.75,2.72,5.89
108-118,2.93,1.3,1.59,0,27.64,0,0
120,9.51,0,0,0,54.18,0,0
