stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,12.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89,0,8.81,0,0,0,0,0,0,0,0,0
  7-9,13.14,0,0,0,0,49.08,0,0,0,0,12.57,0,0,0,0,0,0,0,0,0,63.74,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,15.82,0,0,0,0,0,0,0,0,0,15.83,0,0,0,0,0,0,0,0,0,103.53,0,0,52.6,0,0,4.76,10.55,0,0,0,0,0,0,0
 14-21,0,0,4.45,5.66,0,10.64,0,0,0,0,0,0,0,1.43,0,0,0,0.95,0,1.05,87.58,0,3.28,0,0,1.22,6.35,0,5.29,5.33,22.13,0,0,0.91,0
 24-34,0,0,0,1,0,2.1,0,0,0,0,0,0,0,1.89,0,0,0,2.24,0,0.86,49.72,1.03,0,0,0,0,0,1.31,3.51,0,3.66,0,0,0.94,0
 36-46,0,0,0,1.4,0,16.31,0,0,0.77,0,0,0,0,0,0,0,0,6.61,0,0.65,128.17,1.95,0,0,0,0,0,0,0,0,23.27,0,0,2.91,0
 48-58,0,0,0,0,0,13.38,0,0,0.63,0,0,0.83,0,0,0,1.34,0.83,3.6,0,0.46,68.7,0.62,0.5,0,0,0,0,0,0,0,7.7,0,0,0.47,0
 60-70,0,0,0,0,0,7.96,0,0,2.36,1.27,0,0,0,0,0,0,0,0,0,0,72.67,0,0,0,0,2.55,0,0.6,0,0,11.92,0,0,0,0
 72-82,0,0.83,0.71,3.86,0,119.07,0,0.78,16.99,0.6,0,0,7.93,1.27,0.6,0,0,8.06,0.54,1.96,442.17,2.76,0.97,0,0,0,0,0,1.81,0,63.44,0,0.73,4.13,0
 84-94,0,1.23,0.57,0.64,0,95.72,0,0,12.56,2.69,0,0,2.4,0.6,0,0,0,6.2,0.6,2.63,257.37,2.14,1.74,0,0.91,4.3,0,0.9,0,0,9.65,0.72,0,0.58,0
 96-106,0,0,3.03,1.93,0,28.23,0,0,12.43,2.45,0,0,7.28,3.04,0,0,0,4.79,0,4.96,87.29,0,0,0,0,1.97,0,0,0,0,9.15,0,0,0,0
108-118,0,0,5.59,2.19,6.5,99.97,3.62,0,29.73,1.51,0,0,12.57,0.81,0.6,0,0,9.59,0,4.07,359.78,1.17,2.49,16.21,2.92,0,0,0.51,0,0,19.42,0,0,0,3.13
120,0,0,1.65,0,0,34.13,0,0,10.14,0,0,0,12.64,0,0,0,0,7.1,0,0,150.53,1.54,0,0,0,0,0,0,0,0,21.6,0,0,0,0
