stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,45.11,1666.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.52,0,0,0,0,0,0,0,0,0,0
  5-6,310.5,3784.9,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,143.31,8.7,0,0,8.94,0,181.18,0,0,0,0,0,0,0,0,0,0
  7-9,154.72,124.67,0,162.01,0,0,0,343.97,0,0,0,0,164.68,0,0,0,0,0,0,0,0,0,0,0,2770.76,117.92,0,0,844.25,0,8.05,8.64,0,0,0,0,0,0,0,0,0
 10-12,0,41.68,0,142.56,0,10.56,0,282.84,0,0,0,0,49.5,0,0,0,0,0,3.73,0,0,0,0,0,2621.85,101.24,0,0,427.95,0,0,0,0,83.15,0,0,0,0,0,0,0
 14-21,0,0,0,2.04,15.08,3.06,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,11.32,0,0,2.98,67.31,6.17,0,2.08,0.9,0,2.96,0,3.68,0,0,1.64,16.87,0,0,0,0
 24-34,0,0,0,0.68,10.04,1.16,0,0,0,0,3.78,0,0,0,10.36,129.31,0,0.65,0.66,0,6.28,0.92,0,3.42,47.07,0.64,47.92,1.57,0,0,5.83,0,0,1.77,0,0.84,14.02,0,0.6,0,0.83
 36-46,0,0,0,0,5.06,129.61,0,5.36,0,0,2.06,0,0,0.57,46.86,241.5,0,0,0,0,6.81,0,0,2.63,72.03,0,54.37,0.57,0,0,7.22,0,0,0,0,0,19.87,0,0,0,15.47
 48-58,0,0,0,0,3.4,11.34,0,10.93,0,0,2.89,0,0,0,31.6,284.01,0,0,1.66,0.51,5.94,29.04,0,0.38,34.55,0,29.75,0.82,0,0,4.07,0,0,0,0,0,15.75,0,0,0,18.14
 60-70,0,0,0,0,45.59,0,0,13.77,6.08,0,3.06,0,0,0.66,21.82,378.82,0,0.8,0,0,8.04,0,0,0,33.89,0,1.64,0.82,0,0,7.56,0,0,0,0,0,16.14,0,6.71,0,0
 72-82,0,0,0.49,0,23.2,64.02,0,23.78,0,66.37,5.38,0,0,0,27.83,605.36,0,0,1.2,0,11.52,2.34,0,0.5,26.46,0,7.33,0,0,0,14.02,0,0,0,3.45,0,10.37,0,4.95,1.64,1.88
 84-94,0,0,1.11,0,76.3,7.76,0,18.66,0.61,1.17,13.79,0,0,0,19.31,1070.28,0,0,0,0,12.08,9.17,0,2.1,17.63,0,4.46,0,0,0,25.65,0,0,5.09,0,0,4.85,0,7.83,0,0
 96-106,0,0,0,0,332.53,16.25,0,53.4,81.53,2.06,9.73,4.05,0,2.23,6.79,1562.14,0.57,2.25,4.24,0,34.96,3.54,0,3.16,72.45,6.5,20.52,5.44,0,3.62,34.35,0,0,0,0,0,2.95,4.18,12.36,1.43,1.24
108-118,0,0,0,0,152.4,22.29,4.04,24.2,4.59,19.13,17.23,1.04,0,0,80.59,1904.5,0,0.7,0.81,0,24.75,59.16,1.96,8.82,69.88,0,7.27,1.47,0,0,16.33,0,0,0,0,0,1.92,3.25,0,0,6.47
120,0,0,0,0,179.54,0,0,8.07,57.42,3.18,0,2.52,0,0,55.73,1410.41,4.53,0,0,0,17.15,0,0,4,80.46,0,19.61,0,0,0,22.64,0,0,0,1.69,0,0,3.8,0,0,14.25
