stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,34.75,683.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.32,0,0,0,0,0,0,0,0
  5-6,27.94,380.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.89,0,0,0,10.83,0,7.32,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.83,0,0,0,3.83,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.22,1.21,0.89,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85,12,0,0,0,0,16.66,0,0,3.35,12.18,0,0,0,0
 24-34,0,0,2.99,0,0,3.75,0,0,0.96,0,0,0,0,0.83,0,0,0,0.8,1.76,4.95,0,0,108.53,0,0,1.16,0,48.27,0,0,0,11.36,0,0,0,0
 36-46,0,0,0,2.67,0,7.42,0,0,1.34,0,0,0,0,0,1.37,0,0,10.4,0.69,1.68,0,0,204.63,0,5.16,0,0,65.59,0,0,0,43.45,0,0,0,0
 48-58,0,0,0,0.89,0,18.17,0,0,2.08,0,1.19,0,0,0,0,0,0,0.86,5.69,1.51,0,0,386.99,0,2.9,0.82,0,32.32,0,0,0,36.94,0,0,0,0
 60-70,0,0,0,7.51,0,268.34,0,0,11.38,1.12,0,0,0,0,0,0,0,0,8.95,2.24,5.65,0,789.2,0,6.33,3.15,0,28.43,0,0,0,166,0,0,0,1.87
 72-82,0,0,1.37,12.89,2.95,550.36,0.55,0,15.92,1.15,0,0,0,0.71,0.79,0,3.49,0,16.35,1.37,0.93,0,934.67,0,3.84,1.78,0,24.24,0,0,0,128.81,7.53,0,1.09,3.06
 84-94,0,0,2.24,11.37,0,519.98,2.32,1.45,14.13,2.76,1.62,0,0.64,0.74,0.67,1.23,0,11.49,10.96,3.41,0.9,1.03,689.74,0,0.6,8.16,0,96.44,0,1.09,0,82.44,8.36,4.38,0,3.41
 96-106,0,0,1.37,19.4,7.3,756.42,2.59,0,31.19,5.71,0,0,0,2.56,1.38,0,5.88,1.06,5.04,2.78,0,0,601.23,0,0,9.29,0,104.78,0,0,0,56.2,10.75,0.7,0,8.85
108-118,0,0,2.16,22.44,0.85,505.89,0.97,0,15.63,15.78,0,0,0.75,1.24,1.01,0.43,0,2.29,6.27,9.18,0,1.06,642.17,0.47,2.82,13.45,0,56.92,0,0,0,53.43,17.8,1.7,0.94,0
120,0,0,4.34,22.31,0,275.68,0,0,9.49,1.92,0,1.15,1.96,6.54,6.02,2.11,0,0,35.85,5.95,0,0,946.04,0,3.57,4.31,0,56.15,0,0,0,55.24,18.78,7.64,0,0
