stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,57.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0
  5-6,0,36.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.99,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.81,0,0,0,10.97,0,3.31,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0,13.27,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.08,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0.8,21.45,0,0.98,0,0.91,0,6.75,3.1,0,4.2,3.7,0,0,0,0,0
 24-34,0,0,3.94,0,0,0.8,0,0,0,2.4,0,0,0.68,0,1.85,0,0,0,7.53,0,0,3.63,44.54,0,0,0,0,0,17.26,0,0.8,0.67,3.03,0,0,0.6,0,0
 36-46,0,0,1.07,0,0,6.09,0,5.6,0,2.17,0,0.76,0,0,0,0,0,0,37.15,0.95,0,1.55,64.24,0,0,0.83,0,0,36.85,0,0,0,12.57,0,0,0,0,2.73
 48-58,0,0,0.86,0,0,14.58,1.79,0,0.76,2.22,0,0,0,0,0,0,0,0.87,24.46,0,0,3.48,70.35,0,0,4.69,0,0,10.41,0,0,0,26.4,0,1.28,0.38,0,1.18
 60-70,0,0,0.91,0,0,29.64,0,1.99,0,10.49,0,0,0,0,0,0,0,0,29.79,0,0,0.61,68.45,0,0,6.47,0,0,5.17,0,0,0,29.94,0,5.32,0,0,2.64
 72-82,0,0,3.8,0.5,0,56.39,0,0,1.15,15.32,1.01,0,1.15,1.81,0,0,13.63,0.5,83.5,0.79,2.15,2.87,67.68,0,0,1.63,0,0,2.76,0,0,0,51.89,2.02,0,4.29,0,9.26
 84-94,0,0,10,0,0,59.14,0,0.63,0,6.1,0,0,0,1.46,0,0.69,0,0,13.54,5.77,4.48,1.61,83.01,0,0,0,0,0,7.34,0,0,0,22.62,0,0,0,0,3.81
 96-106,0,0,0,0,1.76,43.37,0,0,2.83,12.29,0,0,0,0.7,0,0,0,0,19.91,0,0,4.15,47.57,0,0,1.13,0,0.79,7.06,0,2.45,0,4.24,0.62,0,1.94,0.56,0
108-118,0,0,4.16,1.32,0,16.3,0,1.78,0,9.74,0.43,0,1.35,0.75,2.72,1.42,0,0,24.47,1.71,0,0,51.92,0,1.14,2.19,0,0,4.41,0,0,0,5.32,0.86,0,0,0,2.03
120,0,0,0,0,0,24.24,0,14.3,0,24.06,0,0,0,3.47,0,0,0,0,14.32,0,0,3.72,18.2,0,0,0,0,0,4.85,0,0,0,19.76,0,0,0,0,4.45
