stage,erythrocytes,eye,mesenchyme,neural,paraxial.mesoderm,spinal.cord
 10-12,0,0,0,0,6.9,0
 14-21,0,0,0,0,0,2.52
 24-34,1.11,0,0,0.96,0,0
 36-46,0,0,0,1.27,0,0
 48-58,0,1.73,0.7,0.82,0,0
 60-70,0,0,0,1.04,0,0
 72-82,0,0.75,0,3.5,0,0
120,0,0,0,13.95,0,0
