stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,periderm,somites,taste,vasculature
  3-4,0,22.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.44,0,0,0,0,0,0,0,0,0,0,0,13.57,0,18.04,0,0,0
  7-9,4.71,4.85,0,0,0,0,0,0,0,0,0,0,0,25.71,0,5.25,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,1.06,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.72,0,0,0,1.21,0,6.11,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,0,7.98,0,0,0
 48-58,0,0,5.3,0,1.32,0,0,0,0,0,0,0,0,10.22,0,7.33,0,0,0
 60-70,0,0,3.85,0,0,0,0,0,0.82,0,1.85,0,0,8.87,0,4.22,0,0,0
 72-82,0,0,36.85,0,0.57,0,0,0,1.06,0.5,0,0,0,20.2,0,8.65,0,0,0
 84-94,0,0,53.97,0,0,1.05,0,1.22,0,0.58,4.35,0,0,8.81,1.54,31,0,0,0
 96-106,0,0,347.27,0.66,0,3.53,8.57,0,0,1.96,0,0,0,1.96,0,37.4,0,7.86,3.34
108-118,0,0,327.21,1.08,6.69,4.41,7.25,0,4.84,9.2,1,0.6,0,8.53,2.45,23.87,0,22.61,0
120,0,0,463.12,0,0,3.27,1.49,0,0,1.98,0,1.04,0,2.35,0,38.12,0,3.83,0
