stage,eye,immune,muscle,neural,periderm,spinal.cord
 24-34,0,0,0,1.06,0,2.44
 48-58,1.76,0,0,0,0,0
 72-82,0,0,0.69,0,7.45,0
120,0,1.06,0,2.2,0,0
