stage,epidermis,eye,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,1.66,0,1.53,0,0.81,5.86,0,0
 24-34,0,0.75,0,0,0,0,0,8.66,0,0,0,0,2.43,0.69,0
 36-46,0,0,0,0,0,0,0,20.85,0,0,1.35,0,4.85,0,0
 48-58,0,4.69,0,1.6,0,0.6,0,27.91,0,0,0,0,1.05,0,0
 60-70,0,19.14,0,0,0,3.62,0,9.53,0,0,0.8,0,1.25,0,0
 72-82,0,0,0,1.16,0,2.38,0.92,16,1.05,0,4.16,0,0,0,1.27
 84-94,0,3.33,0,0,0,3.15,0.68,0,0,0,0,0,5.59,0,0
 96-106,0,0,0,6.09,0.83,0.77,0,10.81,0,0.96,4.86,0,1.71,0,0
108-118,2.89,7.57,2.66,0,0,0,0.55,9.84,0,1.09,0,0,0,0,0
120,0,6.53,0,5.53,0,0,0,0,1.54,0,1.37,0,0,0,0
