stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,0,89.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.9,0,0,0,0,0,0,24.76,0,0,0,3.41,0,0,0,0,0,0,0,50.29,0,0,25.11,0,0,0,0,0,0
 10-12,0,0,0,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.17,0,0,0,0,0,0,9.29,0,0
 14-21,0,0,0,0.84,2.13,0,0,0,0,0,1.89,0.81,0,0,0,0,0,2.42,0,20.66,0.95,0,0,0,0.82,0.91,1.41,0,0
 24-34,0,0,0,0,0.64,0,0,3.31,0,0.65,0,0,2.17,0,0,1.61,0,4.55,3.31,20.58,0,0,0,1.74,0,2.82,0.7,0.74,0
 36-46,0,0,0,0,1.4,0,0,0,0,0,0,0,0,1.24,0,0,0.67,0.65,0,10.24,0,0,0,0,0,0,3.28,0,0
 48-58,0,0,0,0,5.1,0,0,0.56,0.85,0,0,1.49,0,0,0,0,0,0.53,0,22.5,0,0,0,0,0,0,2.19,0,0
 60-70,0,0,0,0,0.9,0,0,3.77,0,0,0,0,5.1,0,0,3.05,0,0,0,6.84,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.13,0,0,0,0,3.05,0,0,0,0,0,0,0,3.22,0,8.95,0,0,0,0,0,0,1.71,0,0
 84-94,0,0,3.02,0,2.92,0,0,1.93,0,0.96,0,0,0,0,0.58,0,0,0.84,0,0,0,1.1,0,0,0,0,0,0,0.68
 96-106,0,0,0,0,0,2.65,0,0,0,2.17,0,0,0,0,0,1.06,0,0.95,0,3.18,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,5.36,0,0.48,0,0,0.78,1.95,0,0,0,0,0.43,0,1.14,0,1.31,0,0,0,1.55,0,0,0,0,0.42
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,0,0,0,0,16.94,0,0,0,0,0,0,0,0,0
