stage,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,mesenchyme,muscle,neural,periderm,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,1.11
 24-34,0,0,0.59,0,0,0,0,6.29,0,0
 36-46,0,0,0,0,0,0,0,59.76,0,0
 48-58,0,3.29,2.28,0,0,0,0,163.88,0,0
 60-70,0,0,9.95,0,0,0,0,316.87,0,0.9
 72-82,0,0,14.4,0,6.87,1.39,0,328.58,0,7.74
 84-94,0,0,5.06,0,1.5,0.67,0,109.93,0,0
 96-106,0.99,2,5.05,0.59,1.17,8.72,1.05,152.69,0.69,0
108-118,0,2.09,4.21,0,0,0,0,224.27,0,0
120,0,0,11.77,0,15.36,2.73,0,169.16,2.01,0
