stage,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,4.52,0,0.71,0,0,0,71.62,0,0.76,0,0,10.96,0,0,0
 36-46,0,0,7.27,0,31.48,0,0,0.6,0,0,217.91,0,0.59,0,0.66,69.09,0,0,0
 48-58,0,0,29.49,0,77.25,0,0,0,0,0,211.74,0,0,4.41,1.19,83.67,0,0.43,0.83
 60-70,0,1.52,19.57,0,54.7,0,0,0,0,0,158.11,0,0,0,0,20.51,0,0,0
 72-82,0,0,10.39,0,61.79,0,0,0,3.22,1.55,99.01,0,0,0,0,16.55,1.84,0,0
 84-94,0,0,13.69,0,44.6,0,0,0,0,0,71.83,0,0,0,0,1.69,0,0,0
 96-106,0,2.76,1.73,0.59,34.48,0,0,0,0,0,67.2,0,0,0,3.33,11.26,0,0,0
108-118,1.18,0,8.14,0,87.38,0,0,0,1.4,0,66.22,0,0,0,0,0,0,0,0
120,0,0,14.53,0,111.26,3.16,0,1.48,0,6.51,82.14,1.55,0,0,0,4.39,0,0,0
