stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,23.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06,13.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.46,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.28,0,0,0,0,3.55,0,1.06,0,0,0,0,0,0,0,0,1.52,0,0,0,81.08,0,3.94,0,0,0,1.5,0,4.2,0.88,3.02,0,0,0,0,0
 24-34,0,0,0,0,89.29,0,0,8.15,0,13.71,0,74.17,0,0,0,0.65,1.57,1.39,0,0,0.62,0,0,0,1402.14,0.95,1.18,0.65,2.14,0,0,0,0,1.31,142.53,0,0,0,0,0
 36-46,0,0,0.85,0,107.18,0,0,122.17,0,8.48,0,419.59,0,0,0,0.79,0,2.8,0,0,4.76,0,0,2.2,2728.15,0,0,0,5.24,0.91,0,0,0,0,464.93,0,0,0,0,0
 48-58,0,0,0,0,113.78,0,0,560.94,0.81,9.88,1.1,848.11,0,0.63,0,0,0,0,0,0.6,21.09,0.37,0,10.98,1981.04,0,0,3.96,7.22,0,0,0,0,0,624.37,0,0,0.9,0,0.66
 60-70,0,0,0,0,97.3,0,0,1306.65,0,5.25,5.44,917.03,0,0,0,0,0,1.13,0,7.55,16.09,0,0,0.71,1125.14,0.64,0,7.97,2.95,0,0,2.2,0,0,285.52,0.61,0.8,1.05,0.71,0.94
 72-82,0,0,0,0,54.5,0.75,0,698.97,0.9,8.6,1.66,715.15,0,0.81,0,0,0,5.95,7.17,0,32.15,1.29,8.65,0,692.44,0,0,8.59,4.36,0,0,0,1.5,0,75.04,5,1.87,1.31,4.23,0
 84-94,0,0,0,0,112,5.21,0,575.4,0,20.76,2.45,455.42,0,0.85,0,0.69,2.07,3.45,0,0,26.35,0.62,1.16,0,554.26,0.61,0,16.17,4.96,0,0,0,0,0,113.16,14.59,9.6,0,11.01,0
 96-106,0,0,0,0,83.58,3.41,0,370.02,0.69,13.08,0,446.15,2.62,0.96,0.71,0.56,1.49,6.94,1.8,0,26.98,0,1.06,0,610.7,0,0.56,22.18,8.19,0,0,0,0,0,23.36,28.29,2.46,10.52,8.55,0
108-118,0,0,0,0,102.46,1.6,0,374.59,0,21.55,0,557.88,0.43,0,0.65,0.54,0,3.9,0,0,69.71,0.48,0,1.06,578.16,0,0.95,32.07,4.49,0,0,0.51,0,0,14.45,40.34,0,3.65,7.72,0
120,0,0,0,0,101.1,2.44,3.12,365.32,0,14.27,2.45,918.41,5.27,0,8.42,4.25,0,6.8,1.34,0,35.73,1.13,2.35,7.1,662.53,0,5.25,7.48,2.31,0,0,0,0,0,14.67,27.14,0,0,3.21,0
