stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,48.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,0,0,0
  5-6,98.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.72,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,81.3,4.25,0,0,11.42,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.13,0,0,0,8.61,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,10.43,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,28.81,0,0,0,1.12,0,0,0,0.84,11.17,0,0,1.06,0,0
 24-34,0,0,8.22,0,2.4,0,0,0,0.77,0,0,0,0,0,0,0,0,0,101.03,0,2.63,51.37,2.27,0.72,3.3,0,0,3.1,0,0.74,11.81,0,0,7.38,0,0
 36-46,0,0,1.41,0,9.97,0,3.44,3.39,0,0,0,0,0,0,0.86,0,0,0,161.16,0,2.41,55.68,2.9,0,2.65,0,1.55,2.67,20.68,0,3.83,0,0,10.1,0,0
 48-58,0,0.59,0,0,2.31,0,0,13.31,11.57,0,0,4.61,0.47,0,0,0,0,1.45,291.02,5.5,2.35,29.89,7.77,0,2.02,0,0,11.49,0,0,2.6,0,0,17.15,0,0
 60-70,0,0,2.19,0,17.53,0,0,20.24,4.37,0,0,1.5,0,0.58,1.44,1.22,0,1.94,1064.08,4.52,2.38,6.66,7.74,0,6.22,0,1.65,12.75,0,0,8.98,0,1.93,17.35,0,17.34
 72-82,0,0,4.26,0,64.41,0,4.31,72.34,9.89,1.99,0,9.15,0,0.7,12.22,0,0,11.4,2415.46,5.12,5.88,62.02,0,0,6.22,0,0,3.58,0,0,4.07,0,9.15,78.24,0,7.14
 84-94,0,0,11.5,0,40.93,0,0.78,51.84,5.64,0,0,5.77,1.07,0.71,18.5,1.13,0,4.2,2040.32,6.69,10.65,35.87,1.95,0.71,11.05,0,2.3,8.61,0,0,0,0,8.4,37.81,0,8.86
 96-106,0,0,14.42,0,73.93,0.67,2.55,84.72,12.18,0,0,12.57,6.51,0,42.96,0,4.07,3.4,1869.15,7.29,3.5,87.88,0,0,14.06,0,9.33,1.24,0,0,10.15,0,19.32,97.89,10.86,17.78
108-118,0,1.08,10.74,1.27,64.94,0,1.62,60.59,22.81,2.16,0,10.81,1.35,3.08,30.81,1.02,0,0,2091.79,6.68,15.52,84.06,2.44,0,36.2,0,0.86,5.2,0,0,8.19,0,38.96,62.82,3.13,30.17
120,0,0,25,1.71,31.75,0,5.29,97.53,6.54,2.91,0,22.6,5.32,1.45,58.27,0,23.77,0,3644.16,15.9,2.27,79.66,4.03,0,39.57,0,0,9.46,0,0,10.64,1.81,32.59,158.92,0,0
