stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.56,454.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.04,0,0,0,0,0,0,0,0,0,0
  5-6,0,552.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,1169.34,0,0,0,0,0,0,0,0,0,0
  7-9,10.75,0,4.77,0,0,8.59,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,175.79,4.06,0,0,60.95,0,163.6,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,24.06,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486.55,15.56,0,0,40.65,0,16.3,0,3.43,0,0,0,0,0,0,0,0
 14-21,0.93,0,0,152.97,0.83,0,0,2.34,0,0.98,0.84,0,0,0,10.21,0,0,0,0,5.3,0,0,0.9,12.1,36.94,0,2.5,0,0,53.62,2.93,0,222.28,27.85,3.79,0,0,0,0,4.43
 24-34,0,0,0,40.96,0,2.21,0,3.63,0.7,0,0,0,0,0,55.07,0,2,0,0,3.45,10.09,0,3.45,89.3,63.44,0.79,2.22,0,0,74.15,0,0,60.2,2.74,5.59,0,0,2.36,0,0
 36-46,0,0,0,28.38,0,1.42,0,0,0,0,0,0,0,3.72,17.23,0,0,0,1.51,3.8,7.4,0,0.62,71.14,38.2,0.95,0.82,0,0,63.37,0,0,40.95,0,1.31,0,0,0,0,0
 48-58,0,0,0,11.54,0,2.31,0.98,6.26,0,1.38,0,0,0,0,8.5,0,0,0,0.56,0.41,16.11,0,0.45,29.26,17.1,0,0,0,0,50.9,0,0,15.57,0,6.5,0,0,1.77,0,7.36
 60-70,0,0,0,15.26,0,1.4,0,5.11,0,2.16,3.93,0,0,0,5.08,0,0.77,0,0,4.59,17.04,5.13,1.55,25.15,1.23,0,3.17,0,0,58.09,0,0,23.09,0,2.03,2.9,0,0,0.8,0
 72-82,0,0,0,21.62,0.5,9.11,6.02,2.19,0.6,4.3,2.47,0,0,0,25.11,1.42,0,7.57,0,9.51,12.56,0.9,0,29.18,2.48,1.27,0.5,0,0,18.91,0,0,9.66,0,0,5.73,2.48,0,0,0
 84-94,0,0,0,48.86,0,12.76,9.12,5.34,0,0,4.53,0,0,0.59,12.69,2.59,0.64,0,0,3.71,8.37,0,1.95,33.91,3.8,1.74,0.57,0,0,50.37,0,0.8,24.99,0,1.28,23.67,0,0,3.85,6.46
 96-106,0,0,2.06,71.45,11.38,11.09,3.15,2.46,0,0.66,7.71,0,1.46,4.52,22.67,7.98,1.69,0,0,29.78,13.75,0,0.87,41.6,0.62,5.05,6.64,0,0,55.1,0,2.44,28.75,0,0,20.19,0.92,3.14,16.38,0
108-118,0,0,0,66.49,0,13.58,4.03,6.6,1.52,7.5,9.31,0,0,2.41,47.03,0.88,1.16,0.95,0,15.99,28.37,1.5,4.18,38.77,1.45,0,4.82,8.11,3.85,58.53,0,2.42,50.87,0,2.74,15.7,0,1.13,19.79,0
120,0,0,0,78.91,0,4.27,18.51,1.25,0,1.81,4.58,0,0,3.38,39.9,0,10,0,0,0,2.76,8.06,0,24.76,2.43,0,3.27,0,0,52.68,0,0,18.87,0,0,4.13,0,0,32.39,0
