stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,53.3,685.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.62,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.88,207.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,29.61,11.76,0,0,331.61,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,54.93,96.74,0,5.34,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.3,17.05,0,0,2498.16,0,0,0,18.32,29.03,0,49.51,0,0,0,0,0,0
 14-21,0,0,0,0.87,2.97,6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,13.83,66.12,3.12,0,0,12.13,0,3.31,1.38,1083.2,0,15.58,267.44,88.66,0,0,0,0,0
 24-34,0,0,0,0,3.41,15.72,0,0,1.02,5.25,0,0,0.76,0,0,0,0,0,0.95,25.9,0,1.61,211.27,0.83,0,13.65,0,0,2.64,0,1.24,3.21,0.65,0.63,258.49,0,0,2.44,0,0
 36-46,0,0,0,1.8,0,148.48,0,0,5.95,1.67,0,0,5.85,0,0,0,0,0,0,36.31,0.98,3.11,158.67,0,0,16.62,0,0,0,0,0,0,7.37,0,242.55,0,1.23,4.71,0,2.19
 48-58,0,0,0,5.46,0,1113.51,0,0.89,5.47,12.48,0,0,2.78,0,0,0,1.81,0,3.84,79.68,3.58,6.06,154.2,0,0,20.88,0,0,0.55,0,0,1.77,1.43,0,132.18,0,2.45,3.98,0,1.34
 60-70,0,0,0,0,0,1640.27,0.91,0,0.62,9.8,0,0,2.69,0,0,0,1.51,1.2,0,143.69,18.15,19.46,117.83,0,6.22,13.04,0,5.9,11.2,0,0,0.58,0,0,16.17,0,19.81,9.24,3.3,0
 72-82,0,0,0,3.27,0.71,827.9,0,0.5,8.4,48.45,0,0,12.62,0,0.5,0,7.5,0,0,230.31,96.48,15.17,131.9,0,0,46.86,0,14.57,2.16,0,0,0,0,0,10.08,2.71,115.02,26.84,20.19,2.27
 84-94,0,0,0,6.35,0.69,594.28,0,0.57,2.42,53.94,0,0,9.18,2.62,1.76,1.29,8.16,0,0,280.85,159.15,5.78,139.92,0,8.34,88.5,0,10.78,2.11,0,0,0,0,0,13.09,0,51.37,17.76,22.84,0
 96-106,0,0,0,9.17,0,624.98,0,1.5,0,50.06,0.61,0,15.19,0.79,1.93,0.75,28.4,23.41,0,319.91,283.76,46.45,89.19,0.64,0,102.76,0,62.35,13.65,0,0,0,0,0,6.03,0,127.5,61.73,27.3,0
108-118,0,0,0,13.48,4.65,983.42,0,1.62,2.82,39.07,0,0,2.56,1.74,0.48,0,11.73,13.2,0,409.93,342.37,18.83,185.38,0,1.12,75.77,0,77.74,0.88,0,0,1.47,0,0,9.94,0,86.78,23.25,14.61,0
120,0,0,0,0,0,459.89,0,1.55,5.01,38.9,0,0,1.54,0,0,0,21.75,19.61,0,259.18,345.75,22.67,97.27,4,0,70.12,0,78.09,3.1,0,0,0,0,0,3.57,0,80.19,57.1,14.09,10.98
