stage,axial,blastomeres,eye,neural,paraxial_mesoderm,periderm
  3-4,0,64.46,0,0,0,0
  5-6,0,0,0,0,0,6.92
  7-9,6.37,0,3.8,35.77,10.81,0
 10-12,0,0,0,16.65,0,0
 14-21,0,0,0,2.2,0,0
