stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,28.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,3.85,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.26,0,0,0,4.36,0,0,0,0,0,0,0
 14-21,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,10.64,0,0,0,0.96,0,0,1.3,0.96,0,2.51,0
 24-34,0,0.61,0,0,0,0,0,0.7,0.69,0,0,0,3,0,0,0,1.51,0,0,0,0,0,0,0,3.78,0,5.49,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,8.08,0,0,0,0.63,0,0,0,0,0,0,0,0,0,4.6,0
 48-58,0,0.5,0,0,1.14,1.44,0,0,0,0,0,0,8.68,0,0,0.62,1.86,0,0,0,0,0,0,0,1.27,0,3.41,0
 60-70,0,0,0,0,0.92,0,0,0,0,0,0,1.32,5.43,0,8.24,0,2.22,0,0,0,0,0,0,0,0,0,1.83,0
 72-82,0,2.35,0,0,0,0,0,1.01,0,0.86,0.66,2.31,35.47,0,0,1.5,8.37,0,0,1.86,0,3.11,0,0,1.65,3.31,4.92,1.35
 84-94,0,4.74,0,0,0.67,3.27,3.38,7.88,0,0,0,4.97,16.62,0,0,0,3.43,1.48,0,0,0,0,0,0,0,4.7,8.1,1.44
 96-106,0,2.84,0.99,0,0.91,0,0.64,2.77,4.22,0,0,1.53,13.96,0,0,0,0,0,0,0,0,0,0,0,0,0.94,4.6,2.62
108-118,0,9.45,0,1.21,0.46,2.29,0.8,5.19,1.7,0,0,2.96,19.64,0.43,2.82,1.29,6.68,1.07,0.48,0,0,0,3.17,0,0,0,3.66,0
120,0,13.56,0,0,0,1.14,7.63,9.56,3.64,0,0,15.13,41.56,0,2.47,4.33,1.95,5.5,0,0,0,0,0,0,6.6,15.35,8.5,0
