stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,495.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.73,0,0,0,0,0,0,0,0,0,0,0
  5-6,265.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,7.71,0,11.11,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.23,0,0,22.75,0,0,0,0,0,8.15,0,0,0,0,0,0,0,0,0,0,0,131.84,21.31,0,0,19.92,0,7.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,40.63,0,4.67,33.71,0,0,0,0,0,20.8,0,0,0,0,0,0,0,0,0,0,0,480.01,47.76,0,0,173.48,0,3.1,16.75,0,6.85,0,3.87,3.51,0,0,0,0,0
 14-21,0,0,3.91,97.88,8.85,4.42,0,0,0,1.83,4.28,2.56,0.92,0,0.86,0,0,0,2.96,13.17,0,0,17.2,46.51,7.93,0,1.09,1.21,0,19.8,0,12.72,2.55,3.43,21.03,29.82,0,0,3.05,0,2.77
 24-34,0,0.6,0,41.68,10.74,14.67,0.72,0.71,1.47,4.27,0.69,0,4.98,0.87,2.38,2.99,0.7,0.68,7.75,35.15,0.84,0,28.48,83.52,4.09,0,0,0,0,43.75,0,0,1.82,1.19,2.75,25.45,0,0,24.22,0,0.69
 36-46,0,1.35,0.56,26.87,1.63,18.98,1.98,3.8,1.66,9.68,0,0,13.51,9.9,1.81,1.49,4.21,0,6.54,47.16,0,0.56,9.43,111.15,7.34,1.35,6.24,0,0,54.92,0,0,2.23,6.37,0.83,37.27,0,0,7.72,0,5.54
 48-58,0,0,0,8.52,1.92,44.66,0,8.84,4.91,32.21,0,3.28,2.66,0.43,4.47,0,0.87,0,5.27,66.6,0.59,0.5,11.73,72.01,3.69,2.16,1.22,0,0,18.2,0,0,0,2.91,0,27.52,0,0.61,11.51,0,21.05
 60-70,0,0,0,16.83,10.61,42.02,0,2.61,1.63,36.56,0,0.63,0.78,7.18,2.73,7.02,3.75,0,0,125.82,3.82,3.16,6.95,33.43,5.08,1.43,2.39,0,0,35.97,0,0,2.82,0.65,0,6.67,0,1.25,6.01,0.71,15.26
 72-82,0,1.46,0,14.92,24.55,27.27,0,2.11,13.21,57.39,7.03,0.59,3.39,4.26,1.82,4.88,4.82,3.43,0.5,134.72,3.5,5.59,8.37,39.01,0,0.58,1.1,0,0.89,30.43,0,0,1.24,0,0,12.64,1.51,5.15,19.96,1.04,10.2
 84-94,0,1.44,0,24.13,19.35,44.37,0,4.12,4.42,29.64,6.5,0,1.44,11.15,6.01,5.96,5.81,0,10.2,122.29,2.78,4.63,1.39,59.11,1.8,0.6,9.44,0,3.24,78.02,0,0,1.74,0.69,0,8.5,3.59,7.77,39.48,3.54,3.46
 96-106,0,1.37,0,21.86,13.76,90.72,1.43,3.07,3.82,41.8,9.62,0,1.41,18.56,4.17,4.02,2.67,14.25,1.3,122.5,7.13,9.05,4.87,38.01,1.42,10.38,10.35,0,0,94.7,0,0,2.44,1.39,0,3.58,0,6.7,20.77,12.39,8.94
108-118,0,0.89,0,50.44,7.31,39.64,2.54,9.58,2.31,47.11,11.18,0,6.31,16.71,3.27,15.63,4.27,5.3,10.2,110.48,1.3,6.43,4.52,64.89,3.02,1.83,14.19,0,4.7,67.7,0,0,2.01,0.56,0,0.45,1.84,5.5,10.33,1.3,11.02
120,0,0,0,42.28,26.36,11.37,1.76,2.39,0,110.71,10.5,0,5.85,16.43,6.55,0,15.72,18.25,0,87.69,1.31,10.75,2.93,57.41,9.59,23.49,0,0,5.29,35.55,0,0,3.61,0,0,0,2.84,0,24.2,2.66,2.08
