stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,51.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.68,0,0,0,54.19,0,0,0,0,5.44,0,0,0,0,0,0,0
 14-21,0,0.82,0,0.87,0,0,1,0,2.86,0,0,0,1.28,0,0,0,0,2.01,0,0,5.19,14.2,0,0,0,0,0,0,0,4.16,0,3.99,21.5,0,0,0,0,0
 24-34,0,0,2.64,0,0,4.62,0,0,1.58,0,0,0,0,0,4.81,0,0,1.41,0,0,0.64,174.55,0,14.11,0,0,0,0,0,0,2.17,0,60.4,0,0,0.78,0,0
 36-46,0,0,4.3,0,0,6.26,0,0,1.69,0,0,0,0,0,1.48,0,0,2.37,0,0,0.63,486.35,0.84,10.29,0,0,0,0.87,0.81,0,0,0,119.48,0,0,0,0,0
 48-58,0,0.46,1.53,0,0,126.2,0,0.76,15.88,0,0,0,0,0,8.17,0,0,6.26,0,0,0.68,781.74,0,13.06,3.07,0,0,0,0,0,0,0,132.38,0,0,3.74,0,4.51
 60-70,0,1.76,0,0.59,0,944.47,0,0,14.99,0,0,0,0,7.43,3.21,0,0,29.87,1.43,0,0,1426.4,0,6.87,0,0,0,3.46,0,0,0,0,166.53,0,0.8,10.65,0,1.95
 72-82,0,2.41,9.88,5.56,0,1647.4,0.86,5.07,53.78,0.65,0.81,0,0,0,13.1,0,0,32.96,0,0.91,1.68,1595.53,0,13.77,1.95,0,0,4.32,0,0,0.59,0,146.34,1.01,0.76,2.3,0,4.52
 84-94,0,3.03,18.23,0,0,1025.5,0,0,68.64,1.12,0,0.73,0,0,5.01,0.83,0,22.36,0,0,0,1068.58,0,3.37,4.47,0,0,3.15,0,0,4.5,0,74.95,1.9,0,2.8,0,0
 96-106,0,0.61,3.84,0,0,1067.62,0,0,90.59,2.78,1.98,4.79,0.65,1.47,30.28,0,0,28.24,1.13,1.06,5.26,860.72,1.17,14.36,11.76,0,0,9.21,0,0,0,0,59.41,0,0,3.29,0.59,0
108-118,0,1.56,20.92,2.46,2.51,1062.99,0,0,92.32,0,0,1.89,0,5.87,11.03,0,1.97,17.21,0.53,0,5.06,967.65,0.46,8.6,13.41,0,2.26,7.45,0,0,0.61,0,23.47,0,0,2.22,0,0
120,0,0,42.35,0,0,566.12,0,0,66.12,9.09,1.61,1.23,0,0,12.72,0,0,72.25,0,2.35,3.01,1806.09,0,5.95,17.13,0,0,2.15,0,0,4.05,0,54.3,0,0,6.46,9,0
