stage,epidermis,erythrocytes,eye,fast.muscle,glial,immune,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal.cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,18.26,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.7,0,3.26,0,0,0
 14-21,0,10.43,0,0,0,46.23,0,0,0,0,0,0,0,0,0,0
 24-34,1.01,4.16,0,0,0,62.61,0,0,0,0,0,0,0,0,0,1.92
 36-46,0,0,0,0,0,42.62,2.38,0.64,1.91,0,0.56,0,0,0.58,0,0
 48-58,0,0,0,0,0,59.57,0,0.51,0.94,0,3.29,0,0,0,0,0.43
 60-70,0,0,0,1.12,0,47.46,0,0,0,0,1.99,0,0,0,0,0.7
 72-82,0,0,0,2.46,1.87,67.21,0,0,0,0,3.47,0,0,0,0,1.17
 84-94,0,0,0,0,0,108.84,0,2.83,1.19,0,5.28,0,0,0,0,0
 96-106,0,0,1.67,0,0,88.6,0,0,10.03,0,5.31,0,0,0,0,0
108-118,0,0,0,0,0,82.49,0,0,4.11,1.79,7.67,0,0,0,0.89,0.59
120,0,0,0,0,0,102.23,0,0,0,0,0,2.34,0,0,0,3.36
