stage,axial,blastomeres,endoderm,eye,glial,hatching.gland,immune,iridophores,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,203.72,7863.75,0,0,0,0,0,0,0,0,0,0,291.8,0,0,0
  5-6,119.24,3121.19,0,0,0,14.89,0,0,0,0,0,13.46,62.6,0,0,0
  7-9,11.69,10.21,3.42,9.6,0,30.91,0,0,0,251.41,8.44,123.84,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,40.24,0,13.43,0,0,0,0
 24-34,0,0,0,0.64,0,0,0,0,0,0,0,0,2.17,0.63,1.07,0
 48-58,0,0,0,0,0,0,0,0,1.27,0.76,0,0,0,0,0,0
 72-82,0,0,0,3.02,0,0,0,0,3.37,0.85,0,0,0,0,0.9,0
 84-94,0,0,0,0,0.95,0,0,0,0,1.79,0,0,1.32,0,0,3
 96-106,0,0,0,0,0,0,0.7,0,0.57,3.81,0,0,2.36,0,0,0
108-118,0,0,0,0.45,0,0,0,1.9,1.88,7.04,0,0,0,0,0,2.08
120,0,0,0,0,0,0,0,0,0,19.92,0,0,0,0,9.87,0
