stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,596.8,11931.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.61,0,0,0,0,0,0,0,0,0,0
  5-6,758.58,5964.24,0,0,0,0,0,0,0,0,0,0,0,27.15,0,0,0,0,0,0,0,0,0,386.14,69.75,0,0,132.1,0,62.49,0,0,0,0,0,0,0,0,0,0
  7-9,228.28,87.71,0,258.69,0,0,0,115.38,0,0,0,0,0,111.14,0,0,0,0,0,0,0,0,0,1104.62,127.13,0,0,666.7,0,0,42.06,0,0,0,0,0,0,0,0,0
 10-12,3.8,92.16,0,277.13,0,30.51,0,102.46,0,0,0,0,0,164.3,0,0,0,0,0,0,0,0,0,1159.46,87.43,0,0,640.49,0,0,32.56,0,122.15,0,29.42,0,0,0,0,0
 14-21,1.77,0,0,27.39,265.31,21.19,0,26.27,0,0,0,4.02,6.81,42.45,10.9,1.95,0,0,7.82,0,122.16,0,70.51,408.5,25.66,0,4.81,9.37,0,0,1.58,58.83,7.49,23.6,295.86,68.98,0,2.05,0,0
 24-34,0,0,0,4.35,102.38,1.47,0,29.79,8.04,3.17,3.42,7.56,2.15,3.31,16.3,2.65,0,21.56,4.01,3.28,171.78,0,83,285.12,3.08,1.8,7.01,0,3.82,3.06,0,2.44,6.88,9.19,46.74,25.66,0,33.84,0,0.79
 36-46,0,0,0,0,49.68,0,0,13.79,20.7,1.62,9.85,16.39,3.26,0,29.25,1.19,0,12.5,0.83,2.05,329.32,5.28,63.7,189.97,0.84,0.83,0,0,0,11.23,0.74,0,2.18,2.27,1.07,21.69,2.32,13.32,0,0.87
 48-58,0,0,0,0,21.55,0,0,41.34,7.45,4.69,14.36,19.7,3.05,0,13.5,0,0,2.57,0,0,454.24,8.6,55.1,197.98,0,0,0,0,4.42,0,0,0,0.53,7.46,0,20.45,4.86,3.23,0.9,0
 60-70,0,0,0,0,16.82,6.66,0,11.45,7.71,7.91,13.72,107.11,5.56,0,7.34,0,0,4.11,2.6,0,776.9,49.38,43.66,117.38,0,6.22,0,0,0,1.68,0,0,0,0,0,9.05,44.29,0,26.69,0
 72-82,0,0,0,0,11.73,12.87,0,32.95,4.28,2.07,18.98,146.96,0,0,5.17,0,0.83,8.93,0.79,0,761.55,27.38,45.66,62.09,0,2.09,0,0,0,1.45,0,0,2.48,0,0,0,83.01,4.26,105.55,0
 84-94,0,0,0.66,0,8.75,1.84,0,57.3,5.88,0.59,15.38,160.58,1.28,0,4.03,0.75,1.44,7.24,0,0,649.48,51.8,21.07,42.21,0,0,0.79,0,0,2.3,0,0,0,0,0,1.5,72.28,5.66,112.98,0.74
 96-106,0,0,0,0,20.08,13.79,0.56,31.62,1.97,4.72,13.81,172.61,2.85,0,6.36,1.05,1,8.15,1.8,0,696.29,46.93,18.45,46.95,0,0,0,0,3.56,0,0,0,0,1.92,0,0,140.31,17.36,156.49,0
108-118,0,0,0.41,0,10.43,7.61,6.41,36.31,8.01,0.48,12.33,313.36,2.16,0,2.76,0,1.02,4.09,0,0,788.89,29.43,20.23,78.31,0.5,1.6,3.77,0,4.86,4.82,0,0,1.19,0,0,3.87,73.15,7.66,136.21,0.79
120,0,0,0,0,7.49,2.16,0,39.35,2.11,0,11.93,447.84,2.56,0,7.19,0,0,0,0,0,580.8,16.67,14.88,98.52,0,0,0,0,0,0,0,0,1.94,0,0,0,74.42,12.73,173.88,0
