stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.37,0,0,7.43,0,0,0,3,1.08,0,0,0.81,0,0,0,2.37,0,0,2,46.46,0,0,0,0,0.84,3.31,0,1.19,1.08,6.28,0,0,0,0,0
 24-34,0,0,0.67,1.56,0,0,11.99,0,0.66,0,0,0,0.92,0,0.64,0,0.61,0,7.82,0,0,0.86,132.95,0.7,1.64,2.27,0,5.91,0,1.79,0,1.25,27,0,0,0,0,0
 36-46,0,0,0,4.35,0,0,32.82,0.76,0,4.03,7.96,0,0,0,0,0,0,0,7.53,0,0,2.66,246.95,0,6.35,0,0,10.28,0,0,0,0,40.64,0,0,0,0,0.64
 48-58,0,0,0,0.38,0,0,54.56,0,0.37,0,7.33,0,0.77,0,1.11,0,0.42,0.53,11.22,0,0.66,0,324.28,0,0,0,0,1.4,0,0,0,0,45.34,0,0,3.02,0,0
 60-70,0,0,0,8.53,0,0,111.15,0,3.18,0,15.79,0,0,1.14,0.92,0,1.13,0,15.82,0.62,0,0.65,410.99,0,0,0,0,7.32,0,0,0,0,51.72,0,0,8.55,0,0
 72-82,0,0,0,2.02,8.63,0,110.01,0.74,0,0.78,16.27,0,0,0.52,0,0,0.81,0,29.31,0,0,0,255.64,0.73,0,0,0,4.14,0,0,0,0,12.07,0,0,0.52,0,0
 84-94,0,0,0,2.91,6.83,2.96,85.98,0,0,0,8.99,0,1.22,0,0,0,0,0,9.09,0,1.04,1.01,173.9,0.67,0,3.3,0,4.69,0,1.11,0,0,13.18,0,0,5.22,0,0
 96-106,0,0,0,13.41,4.98,0,70.93,0,1,1.01,21.78,0.7,0,0,0,2.98,2.06,0,12.88,0,1.14,1.68,134.18,0,0.69,2.72,0,15.08,0,0,0,0,14.52,0,1.99,8.29,0,0
108-118,0,1.17,0,6,0.9,0.44,88.24,0,9.81,0,22.85,1.88,0,2.68,0,0,3.95,6.02,11,1.15,3.02,2.13,156.57,4.4,3.93,1.15,0,4.44,0,0.75,0,0,0.93,0.55,0,4.52,0,0
120,0,0,0,1.46,0,0,37.05,1.08,0,0,2.67,0,0,1.01,0,0,1.11,0,4.83,0,22.28,3.36,178.47,0,0,1.59,0,1.2,0,0,0,0,1.57,1.84,3.38,0,1.05,0
