stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord,vascular.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78,0,0,12.99,0,0
 14-21,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0.86,0
 24-34,0,0,0,0.65,0,0,0,0,0,9.34,0,0,0,0,8.51,0,0,0,0,4.36,0
 36-46,0,0,0,0,0,0,0,0,0,19.21,0,0,0,0,17.91,0,0,0,0,0.65,0
 48-58,0,0,0,5.91,0,0.71,0,0,0,18.04,1.79,0,0,0,9.14,0,0,0.56,0,0,0
 60-70,0,0,0,0,0,0,0,1.09,0,11.01,14.54,0,7.43,1.94,11.79,0,0,0,0,2.24,2.62
 72-82,0,0,0,3.74,0,0,0,0,0,6.08,41.24,0,0,2.41,31.01,0,1.38,0,0,0,1.44
 84-94,1.16,0,0,22.84,0,0,0,0.62,0,20.84,32.22,0,1.6,0,8.15,0,0,0,0,1.88,3.38
 96-106,0,0,0,11.18,0.98,0,1.41,0,0.65,16.29,48.75,1.15,2.73,2.8,14.04,0,0,0,0,0,1.2
108-118,0,0.53,0.66,19.6,0,0,0,0.41,0,19.8,45.43,0,0,2.15,47.03,0,0,0,0,0,0
120,0,0,0,15.78,0,0,0,0,0,7.13,25.02,0,0,3.96,64.97,0,0,0,0,0,16.68
