stage,endoderm,epidermis,eye,fast.muscle,glial,liver,melanocytes,mesenchyme,muscle,neural,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.76,0,0,2.53,0.92,0
 36-46,0.63,0,0,0,0,0,0,0,0.94,6.57,0,0,0,0.97,0
 48-58,0,0,0.42,0.54,2.38,0,0.91,1.27,1.3,10.46,0.46,0,0,1.69,0
 60-70,0,0,0.86,0,1.25,0,0,0,0,9.16,0,0,0,0,0
 72-82,0,0,7.74,0,1,12.81,0,0,0,7.97,0,0,0,1.11,0
 84-94,0,0,0,0,0,0,0,0.78,0,2.96,0,0,0,0,0.64
 96-106,0,0,1.58,0,2.55,0,0,0.57,0,10.09,0,0,0,0.66,0
108-118,0,0,4.39,0,0,0,0,2.34,0.82,4.47,0,0,0,0,0
120,0,1.24,0,0,0,0,0,3.61,0,16.72,0,0,0,0,0
