stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.11,1.87,32.91,2.99,15.78,0,0,0,5.2,0,0,0,0,0,0,0,0,0,21.98,0,0,18.28,204.78,0,2.7,2.63,4.12,0,0,4.04,0.9,2.85,12.81,68.96,0,0,1.09,0,0
 24-34,0.81,0,20.05,4.31,42.23,0,1.18,0,19.65,1.08,0,3.69,2.53,0,0,1.69,1.85,0,69.6,0,0,19.92,1010.08,0.98,20.49,5.25,0,0,15.96,0,2.49,2.52,9.5,214.53,0,0,31.32,0,0.93
 36-46,0,0,32.59,0,123.97,0,0,0,32.45,0,0,3.54,4.71,10.06,0,2.42,0,0,70.62,0.59,2.92,15.42,3031.72,0,28.33,2.19,0,1.69,33.54,6.89,2.05,12.19,0,467.06,0,0.62,8.67,0,0
 48-58,0.67,0,49.66,0,504.35,0.68,16.76,3.63,69.38,3.05,1.19,1.18,5.71,0,4.44,3.31,0.39,3.92,74.46,0.7,4.64,24.13,4751.88,8.13,14.66,5.34,0,0,23.42,0,3.47,0.4,0,691.47,0,0,13.72,0,10.42
 60-70,0,0,15.68,0,1308.68,6.7,6.25,6.23,94.77,0.62,0.59,3.53,10.17,0,2.04,3.75,8.62,0.59,84.98,0,5.92,5.46,5971.57,1.73,23.92,3.06,0,5.94,20.49,0,2.82,1.29,0,841.87,0,1.52,18.93,3.82,6.83
 72-82,2.64,0.56,20.07,9.13,976.57,2.35,4.92,2.82,80.4,2.02,0,4.73,0.55,1.06,0.65,3.76,0,1.8,143.5,0.71,13.35,10.49,3409.37,0.52,27.52,9.58,1.13,2.9,19.58,0,0,3.62,0,456.7,0.8,9.04,18.03,0.9,20.91
 84-94,3.02,0,19.85,8.21,743.36,0.76,4.65,8.06,113.1,2.38,0,1.58,11.09,2.71,0.63,4.27,0,0.56,100.29,1.16,20.45,12.19,2372.43,2.99,26.05,5.72,0,0.77,34.75,0,0.91,0,0,269.83,0.9,2.25,27.49,1.74,3
 96-106,11.54,0,22.21,9.93,622.08,0,2.28,10.46,125.02,4.66,0,0,8.78,2.53,0.71,2.66,1.98,0,94.04,0.6,8.47,7.86,1407.59,0.62,16.45,13.98,0,11.07,45.97,0,0,0,0,92.21,0,1.93,24.69,3.74,7.23
108-118,3.56,0,21.35,3.86,498.01,0,9.54,6.54,118.31,1.48,0,2.87,3.86,1.06,5.43,0,0,6.21,80.78,0,8.7,7.67,2042.7,0,19.58,10.85,0,9.05,12.52,0,0,0,0,109.9,2.91,4.92,21.14,2.91,2.22
120,4.32,0,11.11,6.17,483.35,0,7.88,5.4,161.37,8,0,0,11.86,2.58,0,1.77,3.84,0,161.79,0,0,6.17,2128.64,6.66,17.46,33.76,0,0,6.37,0,0,0,0,83.05,0,3.52,26.05,11.01,0
