stage,blastomeres,eye,glial,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,visceral.smooth.muscle
  5-6,18.4,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,29.24,0,9.2,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.62,0,0,0,0
 14-21,0,0.8,0,0,0,0,3.67,0,0,0,0,0,0
 24-34,0,2.46,0,0,0,0,12.87,1.06,0,0,0,4.37,0
 36-46,0,1.18,0.63,0.62,0,0.6,2.6,0,0,0,0,0,0
 48-58,0,0.42,1.49,0,0.5,0,1.66,0,0,0,0,0,0
 60-70,0,2.54,0,0,1.46,0,0.76,1.46,0,0,0,0,0
 72-82,0,0,1,0,1.01,0,0,0,0,0,0,0,0
 84-94,0,3.79,0,0,0,0,3.42,0,0,0,5.01,0,0
 96-106,0,0.61,0,1.03,0,1.48,0,1.99,0,1.44,0,0,6.14
108-118,0,0,0,1.25,2.28,0,0.76,1.15,0,0,0,0,0
