stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,31.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,64.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.66,0,0,12.71,0,0,0,17.97,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0,0,148.78,15.16,0,0,37.43,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.88,0,29.26,0,4.74,0,75.42,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0,0,0,404.74,9.78,0,0,275.94,0,0,0,0,4.94,0,9.11,0,0,0,0,0,0
 14-21,0,0,0,2.4,8.96,0.82,0,7.49,0,0,0,1.34,0,0,0,0,1.16,0,0,0,11.72,0,0,4.56,76.08,6.25,0,0,1.46,0,1.82,0,5.43,0,4.46,17.29,27.12,0,0,0,0,0
 24-34,0,0,0,0.7,4.56,0,0,18.49,0,0.86,0,2.87,0.71,1.4,0,0.65,3.42,0,1.2,0.84,26.01,0,0,9.07,239.21,1.73,3.81,3.37,0,0,3.8,0,0,0,5.12,6.06,56.08,0,0,6.48,0,5.38
 36-46,0,0,0,0,1.16,0.76,0,46.94,0.78,0,0,6.75,0,0,0.73,0,8.31,0.74,0,1.07,33.03,0,0,6.18,218.11,1.19,1.7,0.62,0,0,8.22,0.81,0,1.25,0,0,53.47,0,0.85,0.61,0,0
 48-58,0,0,0,0,3.89,0,0,85.5,1.34,0.39,0.84,23.04,0,0,0,1.43,0,0,0,0,29.38,0,0,3.83,212.36,8,10.14,1.49,0,0.39,3.54,0,0,0,0.73,0,57.79,0,0,0.38,0,0.89
 60-70,0,0,0,0,14.75,0.6,0,154.45,0,0,3.02,39.64,0,0,0.76,0,0,0,2.13,0,38.04,0,4.03,2.15,233.37,0,3.05,0,0,0,1.76,0,0,0,0,0,39.87,0,0,0.87,0,0.7
 72-82,0,0,0.98,0,3.99,2.42,0,166.5,0,0,2.2,45.77,1.71,0,0.6,1.68,1.13,3.49,0,0,58.96,1.83,0,4.28,253.55,0,3.05,3.74,0,1.67,2.88,0,0,0,0,0,50.6,0.5,0.83,7.47,2.2,2.83
 84-94,0,0,1.53,0,7.27,5.32,0,127.58,0,0.86,2.45,30.72,6.01,0,2.81,1.69,0,0.93,0,0.57,56.14,0.89,0,2.48,177.17,0,8.28,4.72,0,2.02,8.65,0,0,0.75,0.62,0,26.6,0,0,5.55,3.56,0
 96-106,0,0,0.88,0,9.77,21.91,0,115.65,0,2.97,0.6,45.72,4.34,0,2.28,1.02,1.59,0.6,2.22,0.82,42.86,0,0,6.4,181.38,0,11.7,4.42,0,1.28,4.95,0,0,0.69,0,0,6.26,0,1.15,3.88,2.72,0
108-118,0,0,0,0,15.79,0,3.45,137.97,0,0.56,4.53,34.69,3.2,0,0,1.78,3.51,0.79,2.61,5.82,73.03,0.96,5.05,1.77,257.28,0,7.77,1.53,0,0,5.39,0,0,0,0.84,0,12.08,0.81,0.8,4.05,0.71,3.59
120,0,0,0,0,8.89,5.84,0,71.16,0,2.55,15.93,18.08,10.37,0,0,9.69,0,0,1.54,0,62.48,0,13.18,3.68,387.11,9.65,2.73,2.44,0,0,4.9,0,0,3.52,0,0,14.32,0,6.44,22.83,0,0
