stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,120.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0,0,0
  5-6,257.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.66,0,9.61,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.28,3.24,0,0,45.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.44,0,0,0,23.87,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.37,4.25,0,0,0,0,0,0,1.35,0,0,0,0,0,0,1.88,0,0,0,0,17.57,0,0,2.43,0,0,0,1,1.43,171.07,0,0,0,0,0
 24-34,0,0,15.4,4.23,0,0,0,0,0,0,4.11,5.64,0,0,1.01,0,0,2.41,0.84,0,0,0,14.65,56.59,0,0.74,0,0,0,0,0,251.93,0,0,0.71,0,0
 36-46,0,0,1.96,1.27,0,0,1.04,0,0,0,4.1,7.6,0,0,0,0,0,11.69,0,0,0,0,17.71,94.11,1.13,0,0,0,0,0,0,138.23,0,0,0,0,0
 48-58,0,0,0.44,1.26,0,0,5.17,0,0,0,6.31,2.64,0,0,0,0.43,0,45.15,2.42,0,0.5,0,17.27,77.71,0,0.46,0,0,0,0,0,138.38,0,0,0,0,0
 60-70,0,0,0,0.62,0,0,11.24,0,4.67,0,31.11,2.65,0.69,0,0,5.81,0,35.11,4.3,0,0,0.65,10.61,31.81,0,0,0,0,0,0,0,65.47,0,0,0,0.87,5.91
 72-82,0,1.74,0.62,2.11,4.59,4.38,15.91,0.59,0,0,40.98,6.07,0,2.7,0,1.66,0,234.34,9.6,0.89,0.87,0.73,44.34,19.88,0,1.67,0,0,0.96,0,0,71.69,2.48,0.61,1.14,1.11,3.77
 84-94,0,2.02,0,3.01,0,6.81,8.56,0,0,0,23.01,16.52,0,1.56,0,13.65,0,784.53,14.01,3.56,3.9,0.68,34.21,27.49,1.84,0.74,0,0,7.76,0.7,0,49.82,0,3.26,0,12.36,0
 96-106,0,2.94,0,27.85,17.28,11.46,54.38,0,0,3.11,55.3,18.48,0,1.52,2.02,11.99,0,1255.35,48.43,0,4.16,4.98,195.32,6.34,10.31,4.46,0,0,9.74,0,0,47.63,0,0.79,9.7,11.91,0
108-118,0,0.89,0,5.91,4.43,37.09,38.63,0,0.9,0,41.28,10.73,1.9,2.89,0.49,23.74,1.38,2183.21,24.63,0,1.22,0.43,163.86,11.08,0.89,0,0,6.56,6.82,1.32,0,36.22,1.34,0,3.84,24.21,0
120,0,0,0,2.74,0,9.87,60.09,0,0,0,12.06,1.61,0,0,0,57.83,0,823.37,29.29,1.59,0,0,99.11,20.05,0,0,0,0,0,1.47,0,40.12,0,0,0,10.18,0
