stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,4.82,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,0,0,0.94,0,0,0,0,0,0,1.19,1.73,0,0,0,0,0,0,0,0,0,0,11.1,0.88,2.46,0,0,0,0,1.01,0,16.56,4.66,72.75,0,0,0.86,0,0
 24-34,0,0.8,0,0,0,0,3.3,0,0,0,0,0,0.67,0,0.91,0,0,0,0,0,5.25,0,2.92,152.07,1.72,5.02,0,0,0,0,0,0,10.66,0,254.95,0,0,0.87,0,0
 36-46,0,0,0,0,0,0,16.2,6.58,0,0,11.03,0,1.62,0.63,0,0,0,0,0,13.1,4.4,0,2.19,308.14,2.41,6.18,0,0,0,0,0,0,7.05,0,464.37,0,0,1.02,0,0
 48-58,0,0,0,0.55,0,0,32.49,1.16,0,0.5,4.83,0,2.4,0,0,0,0,0,0.6,15.96,0,2.5,3.82,249.18,14.3,0,1.54,0,0,0,0,0,6.71,0,369.26,0,0,1.89,0,0.83
 60-70,0,0.7,0,0,0,0,57.52,0,0,0,24.79,0,0,0,0,0,0,0,0,44.79,0,1.34,15.97,474.11,1.72,1.19,0,0.81,0,0,0,0,5.41,0,244.28,0,8.06,0,0.87,0
 72-82,0,0,0,6.84,3.96,0,106.03,1.95,0,0.93,15.55,0,0,0,0,0,0.72,0,0,109.46,0,4.98,4.17,556.84,4.22,0,0,0,0,5.91,0,4.56,1.81,0,187.75,0.5,5.41,0,13.61,16.37
 84-94,0,0,0,10.99,0,0,78.82,6.89,0,10.62,12.6,1.29,1.31,1.88,2.42,0,0,0.6,0,97.89,0,1.99,6.36,386.51,12.29,0.97,1.06,0,0,0,0,0,3.14,0,93.83,2.01,11.26,0,9.27,0
 96-106,0,0,0,0,0,0,156.7,4.01,0,1.96,37.49,0,0,0.9,0,0,0,0.59,0,92.76,0,0.8,3.05,438.64,3.45,0,0,0,0,1.44,0,0,2.12,0,105.05,0,6.68,0,11.69,0
108-118,0,0,0,3.3,2.14,0.55,94.82,1.37,0.57,1.52,12.58,0,0,1.19,0,0.42,0,0,0,90.73,0,0.94,9.24,412.3,4.65,0,2.71,0,2.01,0,0,0,1.67,0,50.3,0.42,8.12,0,51.06,0
120,0,0,0,11.51,0,0,41.01,9.84,2.35,0,44.15,0,0,2.34,0,0,2.07,9.22,0,82.76,0,0,7.9,599.18,7.1,3.27,2.11,0,0,3.03,0,0,2.84,0,60.52,2.83,0,0,36.04,0
