stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,0,320.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.91,351.63,0,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0
  7-9,11.22,6.83,15.47,0,0,41.44,0,0,17.46,0,0,0,302.52,51.81,0,0,0
 10-12,0,0,26.03,0,0,10.86,0,0,0,0,0,0,109.01,76.96,0,9.43,0
 14-21,0,0,1.03,19.38,0.94,0,0,2.87,0,0,26.07,13.16,9.55,1.41,1.29,0,1.04
 24-34,0,0,6.23,0,0,0,0,0,0,0,16.5,1.34,1.55,0,0.95,0,0.67
 36-46,0,0,0,0.89,0,0,0,0,0,0,9.42,0,0,0,0,0,0
 48-58,0,0,0,0.6,0,0.65,0,0,0,0,0,0.63,2.37,0,0,0,0
 60-70,0,0,0,0,0,8.05,0.97,1.51,0,0,1.31,0,4.57,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0
 96-106,0,0,0,0,0,4.45,0,0,0,1.05,1.11,0,0,0,0,0,0
108-118,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
