stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,0
  5-6,14.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.24,0,0,0,7.86,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.36,0,0,0,198.23,0,0,0,7.35,0,179.22,0,0,0
 14-21,0,1.38,2.2,77.19,11.71,11.76,0,0,0,19.9,0,0,5.61,0,2.41,0,5.91,2.42,0,27.67,0,0,414.58,352.9,23.57,1.79,1.94,15.11,5.93,0.91,65.1,2.45,42823.36,19902.62,110.03,1.09,0
 24-34,0,1.29,2.86,87.89,2.41,91.56,1544.32,2.88,2.96,19.87,1.02,3.09,3.84,20.3,10.59,7.78,46.93,14.96,1.85,114.44,1.6,3.34,1022.33,1615.36,21.64,9.16,13.22,1.99,88.41,0.86,21.92,1.33,17009.24,12585.44,231.1,106.88,18.36
 36-46,0,0,0,41.09,0,39.45,1072.36,4.98,0.58,8.89,0,0,0,2.39,1.4,0,3.4,12.63,0,53.47,0.58,0,416.7,543.74,1.7,2.2,1.6,99.78,49.32,0,48.52,0,7115.42,674.09,72.32,14.62,0
 48-58,0,0,0,7.77,0.5,56.79,336.87,0,1.74,12.1,0,0,0.89,0,0.48,0,0,0,5.37,35.55,0,0,437.37,155.67,0.5,0.58,0.64,13.27,12.16,0,0,0.4,2473.69,0,37.79,0,13.3
 60-70,0,0,0,0.77,0,63.19,691.44,0.81,1.44,3.82,0,6.65,0,0,0,0,0,0,0,35.48,6.64,0,439.3,135.8,0,1.27,0,11.35,0.62,0,0,0,1074.95,0,6.42,0,0
 72-82,0,0,0,2.74,3.15,37.09,507.7,0,5.8,24.66,0.99,0,0,0,0,0,0,0,0,24.27,0,0.49,177.21,68.97,0,0,0,19.15,0,0,0,0,313.44,0,10.82,2.56,6.48
 84-94,0,0,0,0.68,0.64,35.83,517.43,0,1.43,2.35,1.43,0,0,0,0,1.9,0,2.03,1.74,9.43,0,0.92,109.48,63.26,0.9,0,0,0,5.53,0,0,0,243.23,0,16.62,0,0
 96-106,0,0,0,3.09,3.97,27.56,307.23,1.12,0,2.24,0,0,0,6.98,0.86,0,0,0,0,24.75,0,0,115.25,23.03,0,0,0.65,8.43,0.94,0,0,0,193.77,0,0.67,0.59,0
108-118,0,0,0,2.38,1.18,3.11,320.96,0,0,4.99,0,0,0,0,0,0,0,0,0,8.94,0,0,63.58,34.01,0,0,0,0,4.85,0,0,0,152.5,0,0,1.96,0
120,0,0,0,0,0,2.25,178.69,0,0,2.04,0,0,0,7.64,0,0,0,0,0,24.01,0,0,41.78,5.77,0,12.84,0,0,0,0,6.71,0,76.94,0,0,0,16.56
