stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.63,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,108.59,0,11.66,0,0,0,27.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5275.1,0,0,0,81.24,0,0,0,40.63,0,0,0,0,0,0,0,0
 14-21,0,0,13.1,114.12,11.77,0,277.25,0,0,3.91,5.27,9.22,1.02,4.25,0,0,0,21.48,0,0,12.75,16903.68,31.43,0,10.79,0.84,0,2.44,23.7,6.1,2.81,36.95,261.8,0,0,0,0,0
 24-34,0,0,0,20.92,1.5,0,42.31,3.84,0,3.72,0,0,14.6,0.93,0,0,1.45,21.89,0.63,0,2.93,3996.88,0.75,3.18,2.37,0,2.91,1.24,0,0.91,0,0.66,191.33,0,0,3.09,0,0
 36-46,0,0,0,2.31,0,0,52.36,0,0,20.38,0,0,8.88,0.69,0,0,0,2.36,0,1.34,2.54,1027,0,3.71,0,0,0,0.57,0,0.56,0,0,128.98,0,0,0.8,0,0
 48-58,0,0.87,0,0,0,0,49.3,1.39,0,39.59,0,0,2.36,0,0,0,0.39,9.03,0,1.03,1.49,210.14,0.79,2.29,0.44,0,0,0,0,0,0,0,49.15,0,0,0,0,0
 60-70,0,0,0,0,0,0,53.84,1.31,0,210.53,1.86,0.71,22.05,0,0.68,1.57,0,42.71,0,0,1.92,615.97,0,1.72,0,0,0,0,0,0,0,0,77.52,0.84,0,0,0,0
 72-82,0,2.96,0,8.46,5.21,0,48.58,5.13,0,1129.31,2.22,0,17.87,0.56,0,17.01,0.52,179.33,0,0.94,7.75,731.31,0,4.87,0,0,0,0,0,0,0,0,9.3,17.49,0,1.44,2.34,0
 84-94,0,8.01,0,19.56,3.15,0,78.95,0,1.18,1214.98,1.12,0.78,41.96,0,0.75,16.83,8.26,166.3,2.96,0,3.16,606.61,0,23.75,0.58,0,0.77,0.61,0,6.26,0,0,15.03,15.28,0,1.33,0,0.55
 96-106,0,5.67,0,27.84,12.89,0,82.4,5.48,0,2720.68,23.41,0.61,48.1,2.75,1.26,28.35,3.01,52.68,0,0,1.27,574.9,0,40.97,1.14,0,7.27,12.2,0,0.62,0,0,4.78,59.95,0,3.78,2.23,0
108-118,0,2.02,0,13.02,1.88,1.46,84.4,3.54,0,2165.15,5,0,37.89,1.57,0,25.58,6.77,74.37,0,7.07,1.24,1148.6,2.09,27.36,0,0,2.14,11.33,0,1.49,0,0,24.61,84.86,1.51,6.59,1.76,0
120,0,0,0,12.48,6.44,1.14,28.05,7.51,9.65,1789.39,16.88,0,69.73,6.54,0,5.77,4.57,56.38,0,2.35,3.46,1418.98,5.3,1.4,49.93,0,7.89,4.73,0,0,0,0,9.32,41.94,0,0,1.05,0
