stage,blastomeres,eye,glial,immune,lateral.line,mesenchyme,neural,otic,pgc,spinal.cord,vasculature
  3-4,21.17,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.6,0,0,0,0
 10-12,0,0,0,0,0,0,17.08,0,3.03,0,0
 24-34,0,0,0,0,0,0,0.61,0,0,1.19,0
 36-46,0,1.06,0,0,2.73,0,6.89,0,0,0,0
 48-58,0,0.38,0.73,0,0.47,0,0,0,0,0,0
 60-70,0,1.17,0,0,2.18,0,1.1,0,0,0,0
 72-82,0,1,0,0,9.84,0.52,3.06,0.53,0,0,0
 84-94,0,0,0,0.71,1.7,0,0,0,0,0,1.26
 96-106,0,0,0,0,8.06,0,0,0,0,0,0
108-118,0,0,0,0,6.17,0,0,0,0,0,0
120,0,0,0,0,15.97,0,0,0,0,0,0
