stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0,0,0,0,0
  5-6,23.76,445.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.24,0,0,0,0,0,17.11,0,0,0,0,0,0,0,0,0
  7-9,0,6.25,3.83,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.62,10.01,0,0,26.42,0,5.78,0,0,0,0,0,0,0,0,0
 10-12,0,0,26.46,0,0,0,21.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.24,12.59,0,0,39.16,0,0,20.45,0,4.5,0,0,0,0,0,0
 14-21,0,0,1.07,10.26,0,0,0.87,0,0,0,0,0,0,2.5,0,0,0,0,0,0,3.99,0,0,27.62,0.82,0,0,0,0,0,1.21,6.3,0,0,5.16,7.56,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0.63,6.35,0,0,0,4.99,0,2.04,40.91,0,0,0,0,0,0,0,0,0,5.21,0,12.59,0,0,0
 36-46,0,0,0,1.28,0,0,1.52,0,0,0,2.22,0,0,0,0,0,97.78,0,0,0,2.57,0,0.73,57.96,0,0,0,0,0,0,0,0,0,0,0,5.2,1.43,0,0
 48-58,0,0,0,0,0,0,8.03,0,0.37,0,1.02,0,0,0,0,0,383.69,0,0,0,9.37,0,5.72,31.86,0,0,0,0,0,0,0,0,0,0,0,7.95,4.58,0,0
 60-70,0,0,0,0,0,0,17.21,0.65,3.31,0,1.08,0,2.34,0,3.75,0,1259.27,0,0,0,13.78,1.7,6.91,45.16,0,1.02,0,0,1.22,3.03,0,0,0,0,0,5.1,14.56,0,10.38
 72-82,0,0,0,0,1.42,0,16.68,0.98,0,1.07,3.39,0,0,0,0,0,1139.19,0.65,0,0.59,14.13,0,0.8,56.53,0,0,1.14,0,1.41,1.5,0,0,0,0,0,15.49,37.27,0,4.1
 84-94,0,0,0,0,5.99,0,36.18,0,0,0,5.33,0,0,0,2.18,0,2856.93,0,0,0,14.4,0,0,48.73,0,0,0,0,0,6.78,0,0,0.62,0,0,8.03,42.27,0,11.31
 96-106,1.12,0,0.72,0,10.49,0,22.26,0,0,0,2.56,0.94,0,0,2.92,0,2762.21,0,13.29,6.45,28.29,0,1.47,57.67,5.96,1.9,0,0,5.22,5.12,3.39,0,8.98,0,0,9.48,56.48,3.61,7.77
108-118,0,0,0,5.85,8.63,1.26,29.2,0,0.5,0,5.25,1.31,0,4.28,0,0,5598.07,0,1.18,0,21.63,0,0,39.51,0,1.31,0,0,8.19,32.09,0,0,0,0,0,4.91,62.12,0,21.44
120,0,0,0,19.27,0,0,0,0,0,0,14.19,0,0,0,0,0,3577.34,0,0,0,22.48,0,0,54.26,0,3.86,0,0,0,0,0,0,0,0,0,0,46.05,0,6.99
