stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste
  3-4,0,163.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.61,0,0,0,0,0,0
  5-6,0,53.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.9,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,15.75,0,0,0,0,0,0,41.48,0,0,0,3.77,14.3,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,59.47,0,0,0,0,0,0,63.39,3.54,0,0,4.6,0,0,0,0,0,0,0
 14-21,1.81,0,0,7.16,0.82,0,2.1,4.64,11.9,0,6.86,1.55,0,0.95,0,34.92,0,1,0,0,4.39,0,4.9,0,0.84,11.2,0
 24-34,0,0,0,5.61,1.36,0,2.24,2.76,15.13,0,14.73,5.43,1.36,8.67,2.35,95.12,0,9.13,2.13,0,4.97,0,0,0,0,13.48,0
 36-46,0,0,0,1.87,21.08,0,5.2,1.93,0.59,0,0,4.98,8.59,4.09,1,67.84,0,11.73,0.61,0,5.28,0,0,0,0,22.54,0
 48-58,0,0,0,0.59,7.29,0,4.54,4.17,2.02,0,7.26,5.35,2.11,2.37,0,22.82,0,4.91,0.94,0,0,0,0,0,0,10.88,0
 60-70,0,0,0,10.02,2.49,0.63,4.02,0,0,0,7.35,5.52,1.57,2.57,0,10.31,0,5.58,1.38,0,7.28,0,0,0,0,10.76,2.24
 72-82,0,0,0,8.21,1.53,0,2.51,0.63,0,0,0,10,9.71,5.62,0,12.49,0,2.49,1.85,0,3.18,1.65,0,0,0,0,1.76
 84-94,0,0,0.66,17.54,2.32,0,0,2.82,1.95,1.03,2.11,8.96,0,8.14,0,13.77,0,7.07,2.91,0,29.23,0,0,0,0,1.5,5.39
 96-106,0,0,0,15.01,1.31,0,5,7.26,0,0,4.21,9.68,0,0,0,4.46,0,5.59,1.47,0,15.94,0,0,2.22,0,0,1.47
108-118,0,0,0,19.97,1.52,0,7.18,10.48,0,0,3.43,5.76,0.7,0.44,0,7.49,0,3.34,1.24,0,17.29,0,0,0,0,0,7.71
120,0,0,0,15.55,0,0,0,1.94,0,0,2.21,3.8,3.05,0,0,10.85,0,0,0,0,7.56,0,0,0,0,0,0
