stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.93,0.99,1.43,0,0,0,3.71,0,0,0,0,0,0,0,3.36,0,0,0,39.47,1.57,0.86,0,0,0,3.5,0.85,1.49,7.44,0,0,0,0,0
 24-34,0.84,1.58,0.6,8.12,0,0,0,1.67,0,1.06,0,0,0,0,0.8,8.77,1.33,0,3.45,67.65,0,2.02,0,0,2.14,0,0,0,26.25,0,0,0,0,0.76
 36-46,0,0,0,20.12,0,0,0,5.92,0,0,0,0.6,0,0,1.58,13.59,0,0,0.72,120.61,0,0,0,0,3.94,0,0,0,20.87,0,0,0.87,0,0
 48-58,0,1.91,0,45.94,0,2.06,0.59,25.99,0.56,0,0,0,0,1.05,0.54,18.16,0,0.85,2.22,172.75,0.44,1.87,0.93,0,0,0,0,0,31.31,0,0,2.61,0,0
 60-70,0,1.69,0,44.82,0,0,7.95,4.03,0,0,0,0,0,0,0,28.93,0,0,0.75,116.17,0,0,0,0,0,0,0,0,15.76,0,0,0.75,0,0
 72-82,0,0.76,0,105.36,0.74,0,0,12.34,0,0.6,0,0,0,0,0,31.59,0.6,1.23,1.74,198.67,0,0,0,0,1.44,0,0,0,11.21,0,1.02,4.34,0,0
 84-94,0,7.2,0,41.57,0,0,2.21,9.63,0,0,0.65,1.42,1.03,0.66,0,21.53,2.28,0,0,73.16,0,0,0,0,7.13,0,0,0,1.86,0,3.29,1.69,2.46,0
 96-106,0,1.23,5.65,40.35,5.83,0,0,11.69,1.06,0,3.3,0.77,0,0,0,29.25,0,0,0,96.59,7.15,0,2.4,0,0,0,0,0,0,0,0,3.43,0.69,0
108-118,0.76,5.07,0,36.01,0,1.69,0,11.35,1.6,0,0.64,0.48,0.42,0,0,28.42,0,6.14,1.23,113.51,0,8.92,0,0,0.85,0,0,0,0,0.43,0.75,4.89,1.93,0
120,0,12.26,9.61,27.43,0,0,0,25.42,0,0,3.64,2.21,0,0,0,18.75,0,0,2.2,190.02,0,5.91,2.38,18.18,2.04,0,0,0,5.67,0,0,5.97,0,0
