stage,axial,blastomeres,eye,glial,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,42.45,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.56,0,0,0,0,0,0,3.63,0,0,8.82,0,0,0
 10-12,0,0,0,0,0,0,0,47.33,0,0,0,0,0,0
 14-21,0,0,0,0,2.86,0,0,3.42,0,1.32,0,0,0,0
 24-34,0,0,0.98,0,0.69,0,0,6.17,0,0,0,0.72,2.05,0
 36-46,0,0,0,0,0,0,0,1.47,0,0,0,0,0.75,0
 48-58,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0
 60-70,0,0,9.71,0,0,0,0,1.41,0,0,0,0,0,0
 72-82,0,0,2.37,0,0,0,0.53,0.84,1.08,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0
 96-106,0,0,3.95,0,0,0,0,0.97,0,0,0,0,0,0.65
108-118,0,0,0.98,0.98,0,0.51,0,1.97,0,0,0,0,0,0
