stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.36,0,7.64,198.76,22.29,0,13.3,0,8.28,0,5.08,8.54,1.58,1.92,0,5.11,0,0.92,0,1.05,44.46,1.1,0,32.95,139.3,82.01,0,2.54,3.71,0,38.42,0.9,36.72,0,3.75,28.19,89,0,0,10.5,0,0
 24-34,0,3.08,5.38,120.73,2.32,0,35.47,0,20.07,4.3,18.1,3.18,4.49,5.84,0,17.74,2.73,10.21,1.27,0.62,165.87,27.38,0,113.04,299.55,79.18,2.71,4.72,0,0.99,105.21,0,0,7.29,0.6,14.01,77.43,0,0,46.88,0,1.79
 36-46,0,0,0,72.85,0,0,41.99,0,19.12,11.49,36.57,2.82,0,4.93,0,8.86,0,3.21,4.12,0,255.15,16.4,0,77.63,181.71,46.78,5.68,11.51,0,0,88.84,0,0,0,7.16,1.25,52.02,0,0.62,31.28,0,1.36
 48-58,0,0,0.4,60.91,0,0,24.26,0,14.46,25.83,37.2,2.77,0.37,8.76,0,10.04,0,9.14,0.85,1.04,325.68,11.63,2.73,60.14,90.47,16.71,5.83,19.14,0,5.19,39.81,0,0,0,0,0,23.82,0,2.21,18.06,0,7.21
 60-70,0,0,0,68.16,0,0,30.55,0.58,13.4,19.16,25.27,15.53,0,2.72,1.26,6.1,0,5.33,5.56,2.49,501.1,16.49,10.88,52.33,84.1,20.77,2.43,22.3,0,4.15,53.62,0,0,0.64,0,0,23.6,5.33,6.11,5.88,6.15,23.21
 72-82,0,0.93,1.49,41.49,5.86,0,11.29,1.37,2.77,9.93,27.13,10.21,0,3.17,0.58,0.63,0,9.76,0,0.5,497.75,31.96,11.71,32.23,43.92,3.41,2.79,30.99,0,3.05,26.04,0,4.38,0,0,0,5.93,2.49,5.26,25.53,8.22,8.52
 84-94,0,0,0,96.13,0.86,0,48.34,0,12.13,31.54,24.35,16.12,0,4.42,3.19,5.89,0.69,14.37,1.7,0,573.72,51.86,18.9,48.11,29.93,11.25,2.71,35.48,0,0.6,183.73,0,0,2.98,0,0,17.66,8.63,9.96,49.33,26.51,2.53
 96-106,0,2.37,0.65,83.53,8.6,3.58,36.91,0,5.22,9.8,41.73,32.76,0,12.13,0,12.76,2.7,15.28,0,0.68,469.14,40.24,10.61,25.34,44.36,1.05,7.92,28.7,0,1.61,113.95,3.82,0,1.4,0,0,14.62,13.21,11.97,30.45,18.03,6.3
108-118,0,0,0,68.62,0.52,4.55,25.11,0,23.06,16.79,29.16,32.64,0,1.99,0.92,9.9,3.64,4.73,0.56,0.47,436.46,48.41,18.01,26.72,41.98,4.39,9.16,22.91,0,3.53,84.75,0,0,1.28,0.86,0,5.44,13.1,5.68,30.75,7.05,3.49
120,0,0,3.17,76.29,0,0,16.67,0,7.18,14.93,67.06,31.69,0,9.73,0,0,3.34,30.98,1.45,0,274.14,20.06,2.03,18.67,40.95,21.52,7.86,11.08,0,2.67,60.58,0,0,2.26,0,0,23.42,12.01,0,18.99,7.82,0
