stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,25.71,8.5,0,14.6,0,1,0,5,3.28,0,0,0,5.88,0,0,9.38,0,0,4.06,147.62,0.83,2.34,4.45,7.16,0,0,7.56,0,0.8,14.94,33.52,0,0,4.69,0,0
 24-34,0,0,5.31,0,0,14.1,0,0,0,0,0,0,0,0,1.18,0.7,1.09,17.09,0.61,0,3.86,121.01,0,2.31,0.79,0,3.97,0,0,0,0,1.42,22.92,0,0,4.4,0,0
 36-46,0,0,0,0,0,24.6,0,4.76,0,3.22,0,0,0,0,12.26,0,0,12.18,0,0,2.88,44.78,3.66,2.35,7.89,0,12.24,0,0,0,0,0,12.55,0,0,0.92,0,0
 48-58,0,0,2.63,0,0,53.62,0,0,0.42,2.34,0,0,0,0,0.4,0,0,7.81,0,0.42,0.43,69.93,0,0.4,0,0,4.8,0,0,0,0,0,11.48,0,0,0,0,0
 60-70,0,0,2.15,0,0,160.6,0,0,1.56,3.72,0,0,0,0,0,0,0,14.64,0,0,2.62,56.64,0,2.08,0,0,4.57,0,0,0,0,0,6.47,0,0,3.49,0,1.87
 72-82,0,0,2.84,0.55,0,147.53,0,0,6.6,9.67,0,0,0,1.95,0,0,0.61,29.78,1.52,1.05,3.63,60.41,0,3.1,1.54,0,0.81,0,0,0,0,0,13.68,0,0,3.49,0.91,0
 84-94,0,0,11.31,0,0,58.29,2.24,0,1.01,4.97,0.63,1.23,1.57,1.5,1.17,0,0,19.76,0,2.63,0,14.22,0,3.93,0,0,8.87,0,0,0,0,0,0,0,0.77,3.16,0,0.7
 96-106,0,1.08,1.82,0,0,67.71,0,1.02,0.97,10.73,2.05,0,0,0.92,0,0.57,0,16.48,0,0,0,35.25,0,6.74,0.64,0,5.39,3.39,0,1.33,0,0,1.03,1.8,0.66,11.6,6.19,0
108-118,0,0,1.81,0,0.45,74.19,0,0.43,0,5.23,1.01,0,0,0.95,0.82,0,0,26.75,0,0,1.13,60.43,0,1.04,1.1,0,4.66,0,0,0,0,0,2.45,0,0,9.16,0,0
120,0,0,2.81,1.46,1.03,36.34,0,3.98,0,7.5,0,0,0,0,0,0,0,10.96,0,0,5.43,100,0,5.58,0,0,7.06,0,0,0,0,0,1.98,0,0,0,0,0
