stage,blastomeres,endocrine.pancreas,endoderm,eye,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,32.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.53,0,0,0,0,0,95.24,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,9.41,0,0,0,0,0.81,0,0,20.12,3.1,2.59,0,0.97,2.59,13.73,0,43.83,0,0
 24-34,0,0,0.59,0,12.56,0,0,0,0,0.7,0,0,34.18,15.97,0,0,0,0,5.54,0.94,33.16,0,1
 36-46,0,0,0,0,13.37,0,0,0,0,0,0,0,35.89,21.03,1.99,0,0,0,7.57,0,22.41,0,0
 48-58,0,0,0,2.21,15.03,0,0,7.69,0.4,7.64,0,0,27.85,12.57,1.63,0,0,0,13.88,0,34,0,0.41
 60-70,0,0,0,1.98,26.51,0,0,5.29,0.77,0,1.53,0,20.96,17.86,5.32,0,0,0,1.74,0,19.09,0,0
 72-82,0,0.76,0,11.24,20.13,0,0,13.64,1.35,0.51,0,0,11.4,15.3,4.76,0,0,0,2.09,0,18.64,0,0
 84-94,0,1.16,0,9.33,14.43,0,0,13.66,1.54,0,0,1.23,21.75,23.88,5.22,0,0,0,1.68,0,1.28,1.5,0
 96-106,0,1.28,0,9.06,4.18,0,0,7.76,4.81,0,0,0.76,17.78,16.5,2.96,0,0.8,0,1.33,0,12.34,0,0
108-118,0,0,0,0,16.95,1.44,0,10.37,2.25,2.31,0,0,9.51,28.4,4.11,0,1.9,0,1.48,0,3.48,0,0
120,0,7.64,0,12.43,0,0,0,16.69,3.39,0,0,0,30.05,29.35,14.93,0,0,0,5.92,0,7.07,8.89,0
