stage,endoderm,mesenchyme,neural,spinal_cord
 10-12,10.06,0,0,0
 36-46,0,0,3.91,0.73
 48-58,0,0.43,0,0
 72-82,0,1.25,0,0
 96-106,0,1.27,0,0
