stage,epidermis,erythrocytes,eye,glial,lateral.line,mesenchyme,mural.cell,neural,olfactory,periderm,slow.muscle,spinal.cord,vasculature
 14-21,5.77,0,0,0,0,0,0,8.22,0,0,0,0,0
 24-34,0.6,0,2.04,0,0,0.88,0,7.93,0,0.69,0,0.7,0
 36-46,0,0,0.66,1.02,0,0.7,0,3.51,0,0,0,1.08,4.25
 48-58,0,0,7.01,6.46,0,1.82,0,4.52,0,0,0,0,0
 60-70,0,0,8.03,1.32,0,0.59,3.88,28.22,0,0,0,1.27,0
 72-82,0.96,0,3.16,0.98,0,3.29,0,13.55,0,1.54,2.68,0,0.5
 84-94,0,0,8.42,0,0,1.76,0.69,7.53,0,5.09,0,0,0
 96-106,0.88,2.96,1.05,0,0,1.41,0,15.92,3.47,1.94,0,0,0
108-118,3.08,0,20.17,0,2.27,1.39,0,26.84,0,0,0,2.58,0
120,0,0,16.22,0,0,5.31,0,2.54,0,5.17,0,0,0
