stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,64.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.15,3.92,0,0,11.03,0,0,0,0,5.32,0
 14-21,0,0,6.08,2.65,2.72,0,0,2.32,0,0,0,0,0,0,0,2.56,3.67,34.72,1.14,1.37,0,1.21,0,2.03,0,4.41,18.15,0
 24-34,0,0,0,0,3.13,0,0,0.61,0,0,0,0,0,0,0,2.84,0,40.04,0,2.57,1,0,6.25,0,0,0,8.79,6.47
 36-46,0,0,0,0,12.52,0,0,0.73,0,0,1.05,0,0,1.34,0,2.43,0.75,55.27,0,3.77,0,0,1.97,0,0,0,13.47,0
 48-58,0,0,0,0.46,16.62,0,0.41,1.59,0,0,0,0,0,0,0,2.69,2.18,51.55,0,1.21,0,0,0,0,0,0,9.58,0
 60-70,0,0,2.28,0.75,31.21,0,0,5.59,0,0,0,0,0,0,0,5.88,0,39.4,0.62,0,0,0,0,0,0,0,5.7,0
 72-82,0,0,0.74,6.47,26.8,0,0.94,3.42,0.62,0.5,0,0,0,0,0,7.34,3.23,40.99,0,0.74,0,0,0,0,0,0,4.84,0.63
 84-94,0,0,1.74,9.49,10.66,0,0,3.09,0,0,0,0,0,0,0,2.42,0.93,20.28,0,0.91,0,0,1.42,0,0,0,0,0
 96-106,0,0,3.77,33.46,11.84,0.71,0.63,0.72,0.7,0,0,0,0,0,0,6.88,0,28.27,0,5.21,0,0,0,0,0,0,0,0
108-118,0,0,1.5,11.63,26.22,0,0,0,0.47,0,0,1.99,1.22,0.98,0.45,9.79,0,37.46,0,1.05,0,0,0.6,0,0,0,2.89,0
120,0,0,1.57,8.49,0,2.63,0,0,0,0,0,7.72,0,0,0,13.4,0,20.91,1.62,1.77,0,0,0,0,1.42,0,0,0
