stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.78,27.73,0,0,38.04,4.49,0,4.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12.87,0,0,0,1.76,0,1.08,0,0,0,0,0,0,0,0,0,0,0,12.39,55.92,1.55,0,1.81,0,4.63,0,0,0.91,2.86,0,0,0,0,0
 24-34,0,0,0,3.51,6.31,0,0.87,0,0.78,0,2.97,0.78,0,0,0,0.63,0,0,0,2.37,0,0,138.14,9.55,14.86,5.39,0,0.93,0,0,0,1,77.82,0,0,1.26,0,0.93
 36-46,0,0,0,0,4.28,0,3.68,0,1.85,0,9.33,1.45,0,5.85,0,0,0,0,0,4.59,0,1.33,316.36,2.72,38.87,2,0,29.7,0,0,0,0,120.52,0,0,0,0,0
 48-58,0,0,1.09,0,13.66,0,45.24,0,0,0.43,8.71,0,0.51,0,0,0,0.39,3.36,0,17.15,0,0,609.57,5.13,25.71,6.27,0,5.71,0,0,0,0,91.15,0,0,1.03,0,0
 60-70,0,0,0,0,12.73,0,97.62,1.12,1.82,0,11.72,0,0,0,0,4.45,0,0,0,46.43,0,3.11,946.66,0,31.74,16.31,0,1.72,0,0,2.31,0,121.17,0,0,4.17,0,2.08
 72-82,0,0,0,0,7.6,5.3,188.85,0,0,3.23,20.81,0,0,0,0,0,1.26,0,0,67.33,3.57,3.94,976.41,0,24.39,18.19,0,4.84,0,0,0,0,118.61,2.11,2.93,9.6,0,0
 84-94,0,0,0,0,13.75,0,141.39,0,0.79,1.76,15.2,0.57,0,0,0.61,0,0,0,0,62.95,4.57,1.82,667.97,0,19.85,26.71,0,4.07,0,0,0,0,103,0.64,0,0,0,0
 96-106,0,0,0,0,6.09,2.78,170.7,0,0.9,0,21.09,1.38,0,0.75,0,0,0,0,0,101.88,1.59,2.75,713.99,0,31,21.19,0,0.99,0,0,0,0,59.43,1.23,0,2.67,1.16,0
108-118,0,0,0,0,13.69,5.43,192.58,0,1.75,0.73,23.92,0.5,1.03,0,0.51,0,0,0,0,44.18,0,0,810.45,0.45,19.32,21.38,0,0,0,0,0,0,55.31,0.98,3.32,5.66,1.3,0
120,1.12,0,0,0,7.56,0,145.1,0,9.55,2.81,22.3,4.01,13.62,1.07,0,0,0,0,9.24,60.6,9.18,0,1402.81,3.6,34.83,25.77,0,0,0,0,0,0,38.88,3.03,0,18.28,0,0
