stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,45.85,0,1.05,0,0,0,0,0
 24-34,0,0,8.61,0,0,0.68,0,0,1.26,2.59,0,12.53,0,0.73,0,0,9.04,0,0.83,85.98,0,29.47,1.43,264.33,0,0.63,2.6,0,1.53,0,0
 36-46,0,0,8.76,0,0,0,3.07,0,0,7.99,0,26.98,0,0.71,0,0.85,25.83,0,0,269.49,0,15.43,0,430.66,0,0,6.28,0,0,0,0
 48-58,0,0,25.82,0,0,3.12,5.08,2.6,4.17,5.98,0,17.63,0,1.39,0,2.08,16.34,0,1.23,201.03,0,13.06,0,338.01,0,0,3.04,0,0,0,0
 60-70,0,0,57.94,0,0,1.55,4.91,0,0.72,3.32,0,16.84,0,15.07,0,3.24,20.81,0,0,130.92,0,11.19,0,359.8,0,0,1.67,3.81,0,0,0
 72-82,0,0,125.68,0.91,0,14.67,2.45,7.43,11.35,5.35,2.15,24.76,0,32.3,0,11.61,51.64,0,0,137.91,0,9.87,0.53,292.03,0,0,1.71,29.85,0,0,0
 84-94,0,2.82,379.18,11.47,0,18.27,19.38,1.65,44.31,15.04,0,68.27,0,26.85,0,6.47,62.2,1.17,0,65.2,0,32.91,2.23,1191.09,3.2,0,0,80.05,0,0,0
 96-106,0,0.95,552.56,10.02,0.97,22.81,18.01,8.6,141.26,1.06,6.62,100.49,0,50.02,26.99,25.61,107.87,0,0,125.43,0,51.49,0.83,909.84,0,0,4.57,161.67,0.99,1.67,0
108-118,0,0.84,638.17,2.93,0.5,8.8,34.27,0,142.05,0,0,99.83,0.79,42.26,12.43,9.57,118.43,0,0.98,66.52,0.46,28.45,1.2,1122.56,0,0,3.63,190.61,1.49,0,1.88
120,0,0,606.75,2.68,0,4.84,20.58,2.9,49.35,0,0,31.92,0,25.74,0,8.43,70.89,0,0,61.53,0,23.56,0,549.85,0,0,0,54.4,1.78,0,0
