stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,hatching.gland,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,20.05,0,0,0,0,0,0
  5-6,9.81,16.91,0,0,0,0,0,0,19.88,0,0,0,33.54,0,0,0,0,0,0,0
  7-9,9.45,0,4.2,0,0,0,18.15,0,5.64,8.57,0,0,49.15,0,0,0,0,0,0,0
 10-12,0,3.69,0,0,0,0,4.92,0,0,9.53,0,0,33.01,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,9.5,0,1.33,0,0,0
 24-34,0,0,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0.6,0,3.51,0,0
 36-46,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.04,0.62,0,0,0,1.12,0,0,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,2.98,0.96,0,0.73,1.31,0,1.29,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.67,1.15,0,0,0,1.88,0,0,0,0,0,0,0.66,0,0,0,0
 84-94,0,0,0,0,0,0,0,4.61,2.66,0,0,0.64,0,0.58,0,0,0,0,1.46,0
108-118,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0.48
120,0,0,0,0,0,0,0,0,0,0,10.22,0,0,0,0,0,0,0,0,0
