stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.96,3.22,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.04,0,0,0,0,0,0,7.65,0,0,0,0,0,0,0,0
 14-21,0,14.01,1.73,0.96,0,0,0,0,0,0,2.04,0,0,0,0,0,0,3,0,0,1.36,9.69,3.17,0,0,0,0,15.64,0,3.64,1.83,1.13,0,0,6.98,0,0
 24-34,0,9.91,0,2.75,0,3.05,0,2.16,0,0,13.47,0,0,0,0,1.07,1.75,17.06,0,0,6.56,33.58,1.56,0,0,0,0,62.1,2.26,0.6,0,13.89,0,0,14.63,0,0
 36-46,0,9.17,0,6.07,0,3.74,0.6,5.53,0,0,10.03,1.92,5.48,0,2.13,4.79,1.42,17.27,0.77,0.67,0.72,24.59,4.59,2.29,1.22,0,0,89.58,0.58,0,0,14.99,0,0,19.49,0,3.82
 48-58,0,24.07,0,12.77,1.02,3.26,6.59,6.23,0.49,0.49,5.89,0.39,0,0,0,0,2.11,25.28,0,0.76,3.29,17.84,0,0,9.81,0,0,62.51,9.35,1.03,0,21.47,0,0,36.23,0,12.84
 60-70,0,7.89,0,14.99,4.5,15.07,0.73,31.24,0,0,7.13,1.93,2.43,0,0,0,1.14,16.52,2.38,0,0.65,21.16,0,0,0.85,0,0,23.69,0,2.96,0,2.44,0,0,10.62,0,0
 72-82,0,9.28,0,19.19,0,14.12,3.46,23.92,3.96,0,6.67,2.23,0.66,0,0,1.36,0,42.71,1.5,4.81,9.71,24.5,0,0,3.95,0,1.78,27.26,1.82,0,0,1.38,0,1.85,30.43,1.49,5.05
 84-94,0,17.41,0,35.05,0.91,6.32,0.73,36.57,0.82,0,13.66,5.41,2.33,1.9,0,8.03,4.06,34.1,0.65,0,8.12,19.56,3.08,0.56,1.81,0,0,63.43,0,0,0,2.58,0,1.67,41.57,4.83,12.72
 96-106,0,21.02,0,18.39,1.45,3.55,0,42.87,0,0,6.39,7.43,1.92,5.85,1.93,0,0.71,35.62,5.87,0,1.68,25.94,2.29,1.23,0,0,0,77.9,0,0.84,0,2.1,0,5.94,36.02,8.75,2.89
108-118,0,19.97,0,35.58,6.96,4.44,0.73,42.99,3.65,0,3.61,4.23,0.46,3.89,0.85,1.75,1.36,52.68,5.68,1.34,0.46,24.83,0.51,1.05,0.43,0,1.31,60.79,0,3.49,0,0,0.85,3.17,30.14,2.62,6.02
120,0,20.09,0,10.39,0,2.62,0,16.26,5.79,0,0,4.71,0,0,0,8.64,0,62.7,3.25,0,1.96,43.95,0,8.55,0,0,11.71,47.89,2.51,0,0,10.16,0,0,72.27,0,0
