stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,63.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.42,0,0,0,19.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,1.64,0,1.02,0,0,0,0,0,0,2.77,0,0,0,0.89,0,0,0,0
 24-34,0,0,1.16,2.4,0,3.63,0,0.6,0.67,0,0,1.87,0,0,0,0,11.68,1.52,6.87,17.5,0,1.06,6.97,0,0,0,0,0,0,8.78,0,0.61,0,0
 36-46,0,0,0,0,0,0.72,0,0,0,0,0,0.56,0,0,0,0,6.33,0.57,0.77,35.5,2.79,0,0,0,0,0,0,0,8.42,21.59,0,0,0,0
 48-58,0,0,0,0,0,5.19,0.38,0,1.28,1.88,0,0,0,0,0,0,20.86,0,2.71,129.04,0,0.88,1.93,0,0,0,0,0,0,28.4,0,0,0,0.63
 60-70,0,1.8,0,0,0,24.21,0,0,3.82,11.44,0,1.7,0,0,0,3.31,13.67,0,0.76,168.33,0,0,9.58,0,0,0,0,0,0,42.24,0,0,0,0
 72-82,0,1.32,0,0.54,0,66.13,0,0,0,28.3,1.26,2.05,6.74,0,4.29,0,29.65,2.45,0,317.61,0,0,11.66,0,0,0,0,0,0,34.19,0.88,0,0.91,0
 84-94,0,1.29,0,0,0,48.07,0,0,0,35.96,0,0,0,6.37,0,0,39.6,3.52,0.87,258.59,0,0,4.24,0,0,0.62,0,0,0.66,38.59,0,0,1.34,0
 96-106,0,3.51,0,1.18,3.09,47.87,0,0,0,18.09,0,0.86,0,0.67,10.88,0,39.43,0,1.9,141.59,0,0,8.33,0,4.02,0,1.35,0,0,24.78,0,0.82,0,0
108-118,0,0.54,0,0,0.57,58.52,0,0,1.84,19.03,0,0,0,0,3.89,0.52,14.77,4.58,4.84,227.1,0,0,10.04,0,0,0,0,0.61,0,4.1,0,0,0,0
120,0,0,0,11.3,1.3,57.76,0,0,2.45,21.21,0,0,0,0,7.23,0,7.12,0,0,328.44,0,0,10.96,0,5.52,0,0,0,0,7.22,0,0,0,0
