stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,82.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0
  7-9,16.36,12.18,0,0,0,14.2,0,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,0,107.56,0,0,0,54.64,0,6.96,0,0,0,0,0,0,0,0,0
 10-12,0,5.4,0,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,157.91,15.06,0,0,36.49,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,13.38,3.79,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,0,0,3.76,60.51,0,2.08,0.82,0.88,0,0,10.73,0,10.23,22.61,0,0,0,0,0
 24-34,0,0,10.6,0.95,0,13.32,0,0,0,2.74,0,0,0,0,0,0,0,0,0,11.5,0,0,2.18,181.09,0.97,1.32,0,0,4.33,0,0,1.13,0.6,34.2,0,0,2.79,0,0.72
 36-46,0,0,0,1.22,0,15.09,0,0,0,2.26,0,0,0,0,0,0,0,0,0,3.62,0,0,1.94,192.71,0,0.57,3.17,0,1.97,0,0,0,0,36.95,0,0,0.68,0,0
 48-58,0,0,10.18,0,0,36.82,0,0,0,15.11,0,0,0,0.76,0,0,0,0,0,7,0,0,2.06,157.49,0,0,0,0,1.58,0,0,0.74,0,31.87,0,0,0,0,0
 60-70,0,0,0,0,0,86.19,0,0,0,3.66,0,0,0,0,0,3.66,0,0,0,11.58,0.63,0,0,105.29,0,1.23,0,0,3.25,0,0,0,0,12.14,0,0,0.88,0,0
 72-82,0,0,0,0,0,91.18,0,0,4.56,11.59,0.56,0,0,0.51,0,0,0.6,0,0,10.1,0,0,0,88.52,0,0,1.79,0,0.7,0,0,0,0,5.7,1.02,0.49,10.03,0.54,0
 84-94,0,0,2.27,0,0,33.62,0,0,0,20.13,1.28,0,0,1.81,0.75,0,0,0,0.98,13.86,0,0.84,2.73,28.71,1.76,0,0.55,0,9.02,0,0,0,0,0,0,0,8.03,0,0
 96-106,0,0,0.62,0,1,26.34,1.55,0,0,0,2.66,0,0.78,2.38,0.99,0.74,0,0,0,4.18,0,1.05,1.72,42.72,0,0.7,0,0,3.99,0,0,0,0,2.8,0,0,0.93,0,0
108-118,0,0,0.46,0.69,0.98,32.06,0,0,0.72,9.13,3.98,0,0,0.65,0.42,0,1.01,0.99,0.91,7.96,0,2.19,0.75,54.23,0,4.2,0,0,7.52,0,0,0,0,1.09,1.74,0,1.37,0,0
120,0,0,4.65,0,0,8.28,0,3,0,0,0,0,0,12.2,0,0,0,0,0,7.21,3.25,0,0,83.97,0,5,0,0,3.02,0,0,0,0,3.65,0,0,0,0,0
